21_JUMP_STREET.srt 	21_JUMP_STREET_DVS495 	01:18:52,00 --> 01:18:58,50 	someone hangs up, sitting alone on a weightlifting bench.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS507 	01:20:01,00 --> 01:20:05,50 	his cohort hangs back.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS228 	00:54:36,00 --> 00:54:40,50 	someone hangs up.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS250 	00:59:37,00 --> 00:59:41,50 	someone hangs up.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS253 	01:00:11,00 --> 01:00:16,50 	he hangs up and throws the phone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS305 	01:09:11,00 --> 01:09:15,50 	someone hangs up.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS48 	00:03:37,00 --> 00:03:44,50 	he hangs up and crosses the street toward a colored blue-lit nightclub.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS454 	00:44:19,00 --> 00:44:23,50 	someone hangs back, keeping an eye on someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS565 	00:54:35,00 --> 00:54:44,50 	in slow motion, someone hangs up his phone and leads a pack of lawyers and judges in suits and robes.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS652 	01:07:08,00 --> 01:07:13,50 	someone's weapon hangs at his side.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS861 	01:24:35,00 --> 01:24:41,50 	someone sees the truck hanging out and hurls the radio aside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS873 	01:25:12,00 --> 01:25:19,50 	the truck smashes into the building and the door shoots open, someone barely hangs on.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS450 	01:18:04,00 --> 01:18:08,50 	someone hangs his head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS46 	00:04:33,00 --> 00:04:40,50 	her open hand hangs off the edge of the bed, her wrist exposed to the intruder.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS185 	00:25:14,00 --> 00:25:29,50 	nearby, a naked man hanging upside down shows no sign of life.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS317 	00:45:59,00 --> 00:46:06,50 	he watches the attack in a stupor, his jaw hanging slack.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS373 	00:52:47,00 --> 00:52:58,50 	now, spanish moss hangs low from the branches of surrounding trees as someone and someone ride a modest horse drawn carriage up a narrow path.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS375 	00:53:05,00 --> 00:53:10,50 	a pot hangs over a stack of firewood.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS44 	00:05:17,00 --> 00:05:21,50 	someone hangs up.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS63 	00:10:32,00 --> 00:10:37,50 	he hangs up his phone and hurries off.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS351 	00:57:28,00 --> 00:57:34,50 	he watches confusedly as she hangs their selections on a hook.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS446 	01:11:21,00 --> 01:11:26,50 	someone hangs up while someone drives.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS502 	01:20:16,00 --> 01:20:20,50 	someone hangs up.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS677 	01:43:13,00 --> 01:43:22,50 	now the divas strut to the center of a dance floor, while students hang from scaffoldings, and someone dances behind someone.
BRUNO.srt 	BRUNO_DVS183 	00:48:47,00 --> 00:48:57,50 	his jaw hanging slack, as he turns and trudges away.
BURLESQUE.srt 	BURLESQUE_DVS298 	00:40:43,00 --> 00:40:50,50 	now someone reaches out of the shower and finds bras and stockings hanging on a hook.
BURLESQUE.srt 	BURLESQUE_DVS375 	00:51:45,00 --> 00:51:52,50 	after hours, someone and the other dancers hang out at the bar with someone and someone.
BURLESQUE.srt 	BURLESQUE_DVS667 	01:43:22,00 --> 01:43:26,50 	as he hangs up, the women sit.
BURLESQUE.srt 	BURLESQUE_DVS689 	01:46:00,00 --> 01:46:06,50 	someone hangs her head, then lifts her tearful gaze.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS73 	00:10:59,00 --> 00:11:04,50 	someone hangs his head.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS84 	00:12:54,00 --> 00:13:03,50 	an army recruitment poster featuring uncle someone hangs on a column.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS232 	00:40:25,00 --> 00:40:33,50 	someone hangs on to the top of the cab as someone swerves several times, then turns sharply down an alley.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS181 	00:14:13,00 --> 00:14:18,50 	hunched over and jaw hanging slack, someone looks up.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS293 	00:22:42,00 --> 00:22:47,50 	a short board hangs over the garage door.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS348 	00:32:32,00 --> 00:32:38,50 	now outside an abandoned house, a hammock hangs over a back patio.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS373 	00:35:00,00 --> 00:35:06,50 	he hangs the poster on two panels of corkboard on his wall.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS383 	00:36:10,00 --> 00:36:15,50 	someone hangs his head and nods.
CHRONICLE.srt 	CHRONICLE_DVS336 	00:50:25,00 --> 00:50:33,50 	he leaves a coat hanging on an armoire door and steps directly toward the camera.
CHRONICLE.srt 	CHRONICLE_DVS442 	01:04:16,00 --> 01:04:21,50 	his brow furrowed, he hangs his head and swallows.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS19 	00:04:03,00 --> 00:04:15,50 	as someone approaches, he hangs his head.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS556 	02:10:26,00 --> 02:10:44,50 	at someone's bar, someone hangs his head.
COLOMBIANA.srt 	COLOMBIANA_DVS156 	00:13:58,00 --> 00:14:05,50 	in a courtyard, someone weaves around sheets hanging on clotheslines
COLOMBIANA.srt 	COLOMBIANA_DVS218 	00:18:40,00 --> 00:18:47,50 	his mouth hanging agape, he shifts his astonished gaze to someone.
COLOMBIANA.srt 	COLOMBIANA_DVS283 	00:23:44,00 --> 00:23:50,50 	as she sits up, we notice guns hanging on the wall behind her.
COLOMBIANA.srt 	COLOMBIANA_DVS497 	00:44:01,00 --> 00:44:07,50 	she hangs up, runs to the bus, and turns in her ticket.
COLOMBIANA.srt 	COLOMBIANA_DVS673 	01:03:41,00 --> 01:03:47,50 	agent someone hangs up.
COLOMBIANA.srt 	COLOMBIANA_DVS753 	01:12:30,00 --> 01:12:34,50 	she hangs her head.
COLOMBIANA.srt 	COLOMBIANA_DVS764 	01:14:27,00 --> 01:14:32,50 	someone hangs up then glances outside at his friend.
COLOMBIANA.srt 	COLOMBIANA_DVS769 	01:14:49,00 --> 01:14:55,50 	he hangs up and types a command into his computer.
COLOMBIANA.srt 	COLOMBIANA_DVS1085 	01:42:59,00 --> 01:43:04,50 	depressing the payphone's hook, someone hangs up.
DEAR_JOHN.srt 	DEAR_JOHN_DVS48 	00:06:08,00 --> 00:06:14,50 	someone hangs his head with a subdued smile.
DEAR_JOHN.srt 	DEAR_JOHN_DVS161 	00:25:10,00 --> 00:25:16,50 	someone hangs back, pensively taking in the cheerful scene.
DEAR_JOHN.srt 	DEAR_JOHN_DVS361 	00:56:41,00 --> 00:56:51,50 	someone watches her go, then swallows hard and hangs his head.
DEAR_JOHN.srt 	DEAR_JOHN_DVS447 	01:05:43,00 --> 01:05:48,50 	someone hangs his head as the soldier walks away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS693 	01:33:37,00 --> 01:33:41,50 	someone hangs her head.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS225 	00:56:23,00 --> 00:56:27,50 	crushed, someone hangs his head.
