500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS294 	00:53:46,00 --> 00:53:50,50 	it floats up into the air.
BLINDDATING.srt 	BLINDDATING_DVS135 	00:37:07,00 --> 00:37:13,50 	a smile floats across someone's lips.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS398 	01:12:29,00 --> 01:12:35,50 	big someone looms over a city street as barrage balloons float overhead.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS607 	01:43:30,00 --> 01:43:36,50 	now in free fall, the two men continue to fight as they float weightlessly.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS362 	00:34:08,00 --> 00:34:14,50 	now we float over the santa cruz boardwalk's giant dipper rollercoaster.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1156 	01:49:44,00 --> 01:49:50,50 	everyone, floating on surfboards and wearing leis,
CHRONICLE.srt 	CHRONICLE_DVS112 	00:15:44,00 --> 00:15:49,50 	someone points at the floating ball.
CHRONICLE.srt 	CHRONICLE_DVS116 	00:16:10,00 --> 00:16:17,50 	someone texts on his phone as someone struggles to connect the floating legos.
CHRONICLE.srt 	CHRONICLE_DVS152 	00:23:11,00 --> 00:23:16,50 	a bear floats off a top shelf.
CHRONICLE.srt 	CHRONICLE_DVS194 	00:28:43,00 --> 00:28:49,50 	he pensively floats the camera side to side, then above him.
CHRONICLE.srt 	CHRONICLE_DVS207 	00:30:25,00 --> 00:30:31,50 	rocks and dirt float up around him as he rises.
CHRONICLE.srt 	CHRONICLE_DVS244 	00:34:54,00 --> 00:35:00,50 	as it floats upward, he folds his arms and watches it contentedly.
CHRONICLE.srt 	CHRONICLE_DVS282 	00:43:18,00 --> 00:43:36,50 	the cards float up and collect in his palm.
CHRONICLE.srt 	CHRONICLE_DVS425 	01:02:37,00 --> 01:02:43,50 	from his camera, we watch him float cash from the register into his bag.
CHRONICLE.srt 	CHRONICLE_DVS472 	01:08:27,00 --> 01:08:35,50 	floating nearby, someone uses his power to blast out the windshield and suck someone from the car.
CHRONICLE.srt 	CHRONICLE_DVS476 	01:08:49,00 --> 01:08:55,50 	he floats us safely to the street and sets us down.
CHRONICLE.srt 	CHRONICLE_DVS480 	01:09:15,00 --> 01:09:20,50 	floating just outside, someone glowers at them.
DEAR_JOHN.srt 	DEAR_JOHN_DVS587 	01:22:17,00 --> 01:22:21,50 	as he floats on his back,
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS221 	00:59:37,00 --> 00:59:50,50 	now we float over hollywood, then track a car on a meandering frontage road boarded by luxury homes.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS276 	01:11:00,00 --> 01:11:07,50 	the two riders cruise by floating kelp.
HUGO.srt 	HUGO_DVS230 	00:33:53,00 --> 00:33:58,50 	the king of hearts card floats up into his hand.
HUGO.srt 	HUGO_DVS411 	01:00:57,00 --> 01:01:05,50 	a sketch of a disembodied face floats past then another of a man peeking out from a ringed planet.
HUGO.srt 	HUGO_DVS416 	01:01:21,00 --> 01:01:28,50 	as the drawings float to the floor, someone glares in from the doorway, someone stands behind him.
HUGO.srt 	HUGO_DVS508 	01:14:44,00 --> 01:14:49,50 	real lobsters float downward.
HUGO.srt 	HUGO_DVS656 	01:34:35,00 --> 01:34:42,50 	someone floats horizontally above the stage with her elbow resting atop a thin pole.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS506 	01:39:23,00 --> 01:39:43,50 	someone punches keys on a typewriter, floating island.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS506 	01:39:23,00 --> 01:39:43,50 	someone's laptop screen shows her write, "so last night i made floating."
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS58 	00:03:47,00 --> 00:03:55,50 	a small, red-ish bird stands on a floating pad near the concrete rim of a pool.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS126 	00:15:17,00 --> 00:15:25,50 	our view lifts up and away from the floating candles to the stars twinkling in the night's sky.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS403 	00:47:24,00 --> 00:47:31,50 	from a cresting wave, an orangutan rises into view, perched on a floating bundle.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS408 	00:47:52,00 --> 00:47:58,50 	in the water, the banana bundles float free of the netting.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS859 	01:26:42,00 --> 01:26:48,50 	now the raft floats on choppy water beside the bow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS882 	01:29:10,00 --> 01:29:15,50 	his raft floats atop the churning water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1044 	01:43:42,00 --> 01:43:46,50 	the boat floats into the distance.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1125 	01:58:43,00 --> 01:58:50,50 	now the teenage someone floats on the ocean gazing toward us.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS438 	01:31:13,00 --> 01:31:24,50 	he floats high, flapping his wings which appear puny compared to his inflated body.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS163 	00:41:17,00 --> 00:41:23,50 	now we float over atlanta's gold domed capital building.
