A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS200 	00:17:27,00 --> 00:17:33,50 	someone emerges through the haze, gripping someone's handcuffs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS279 	00:24:01,00 --> 00:24:07,50 	a man emerges from the roof with an rpg and aims at someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS392 	00:35:48,00 --> 00:35:54,50 	as we drift closer, the three men emerge onto a rooftop.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS793 	01:19:47,00 --> 01:19:51,50 	someone emerges.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS935 	01:30:49,00 --> 01:30:56,50 	emerging, someone descends the steps with a stilted limp and his father at his heels.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS578 	01:20:24,00 --> 01:20:33,50 	behind the first lady, dozens of african-americans emerge from hiding with sacks and baskets.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS634 	01:29:31,00 --> 01:29:41,50 	emerging from thick smoke, he crosses the support structure and kicks out a beam.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS405 	01:05:23,00 --> 01:05:29,50 	someone emerges from a door right beside him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS509 	01:20:33,00 --> 01:20:40,50 	the full-bodied and now fashion-forward someone emerges from the side door.
BURLESQUE.srt 	BURLESQUE_DVS66 	00:06:02,00 --> 00:06:08,50 	a bald man with a cigarette between his lips emerges from the building.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS226 	00:39:54,00 --> 00:40:02,50 	cars swerve as he emerges in a street.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS538 	01:35:44,00 --> 01:35:55,50 	more us soldiers emerge from the forest.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS48 	00:03:25,00 --> 00:03:31,50 	the front of the board bounces through the breaking wave as they emerge safely.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS283 	00:21:34,00 --> 00:21:44,50 	someone reaches the foot of the wave, briefly vanishing from view within the rolling tides before he emerges to take more of the face.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS453 	00:43:57,00 --> 00:44:02,50 	she emerges right in front of him.
