21_JUMP_STREET.srt 	21_JUMP_STREET_DVS67 	00:07:35,00 --> 00:07:40,50 	a fat bearded biker crosses the bridge.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS20 	00:03:47,00 --> 00:03:53,50 	the mustang crosses a truss bridge over a river.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS118 	00:31:06,00 --> 00:31:12,50 	he crosses to a window and spots a van outside.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS142 	00:38:22,00 --> 00:38:29,50 	someone crosses to a counter and peeks inside a green bag.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS159 	00:41:56,00 --> 00:42:04,50 	now someone sprints across a bridge, crossing the river in his buttoned up green army jacket.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS213 	00:52:13,00 --> 00:52:17,50 	they cross the street.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS221 	00:53:48,00 --> 00:53:52,50 	they cross the street.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS270 	01:04:24,00 --> 01:04:30,50 	leaning forward she spots men's shoes crossing the checkered floor.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS298 	01:07:27,00 --> 01:07:34,50 	he searches a workbench, then crosses the room and ransacks a bookshelf.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS48 	00:03:37,00 --> 00:03:44,50 	he hangs up and crosses the street toward a colored blue-lit nightclub.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS433 	00:42:00,00 --> 00:42:07,50 	they cross a brief red-carpeted lobby.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS438 	00:42:15,00 --> 00:42:21,50 	the tall windows show a fog-enshrouded city outside,as they cross the room.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS529 	00:51:18,00 --> 00:51:26,50 	inside the hotel, someone and someone jump over the bar and cross the hazy room.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS29 	00:07:38,00 --> 00:07:47,50 	inside an open sided pavilion chanting people wearing white clothing sit on the ground with their legs crossed and eyes closed.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS227 	00:44:13,00 --> 00:44:17,50 	he crosses his heart.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS315 	00:57:15,00 --> 00:57:19,50 	someone crosses his hands over his chest.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS108 	00:11:39,00 --> 00:11:46,50 	weakly clutching his bruised side, he crosses to a desk where he finds his journal.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS124 	00:14:20,00 --> 00:14:27,50 	crossing to a front door, someone puts on sunglasses.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS181 	00:24:35,00 --> 00:24:43,50 	he crosses the floor between two service counters quickening his pace as he nears the back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS277 	00:39:39,00 --> 00:39:51,50 	an aerial view shows the herd crossing a riverside field.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS314 	00:45:43,00 --> 00:45:55,50 	as someone crosses to the dark haired woman, a dazed someone rises to his feet but struggles to maintain his balance.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS331 	00:47:24,00 --> 00:47:30,50 	now through a downpour, the tall, young man crosses a street.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS333 	00:47:36,00 --> 00:47:44,50 	he steps onto a curb and crosses a sidewalk heading for the general store.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS483 	01:07:50,00 --> 01:07:58,50 	someone crosses to his lifelong friend and drapes his jacket around his shoulders.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS549 	01:17:11,00 --> 01:17:17,50 	he crosses to it slowly taking out a key.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS621 	01:27:25,00 --> 01:27:35,50 	he tosses the rock and crosses to another crate.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS634 	01:29:31,00 --> 01:29:41,50 	emerging from thick smoke, he crosses the support structure and kicks out a beam.
BAD_TEACHER.srt 	BAD_TEACHER_DVS187 	00:52:39,00 --> 00:52:46,50 	she crosses out fucking.
BLINDDATING.srt 	BLINDDATING_DVS150 	00:40:19,00 --> 00:40:29,50 	she crosses the grass to him.
BLINDDATING.srt 	BLINDDATING_DVS267 	01:05:37,00 --> 01:05:47,50 	later, crossing to the waiting room doors, someone stumbles on a toy dump truck.
BLINDDATING.srt 	BLINDDATING_DVS284 	01:11:03,00 --> 01:11:20,50 	a laser dot crosses an x-ray of someone's skull and dr.
BLINDDATING.srt 	BLINDDATING_DVS322 	01:17:28,00 --> 01:17:36,50 	a hint of a smile crosses his lips.
BLINDDATING.srt 	BLINDDATING_DVS337 	01:20:43,00 --> 01:20:49,50 	a little smile briefly crosses someone's lips.
BRUNO.srt 	BRUNO_DVS217 	01:00:58,00 --> 01:01:11,50 	his legs crossed tightly, and his hands folded neatly on his knee, lowering his stare.
BURLESQUE.srt 	BURLESQUE_DVS54 	00:05:18,00 --> 00:05:25,50 	the blonde enters another building, then exits and crosses off the ad in her paper.
BURLESQUE.srt 	BURLESQUE_DVS147 	00:20:00,00 --> 00:20:06,50 	sitting on the edge of the stage, someone crosses her legs.
BURLESQUE.srt 	BURLESQUE_DVS369 	00:51:10,00 --> 00:51:17,50 	he heads away, passing someone, who stares at someone, her arms crossed.
BURLESQUE.srt 	BURLESQUE_DVS393 	00:54:24,00 --> 00:54:36,50 	facing the audience, she quickly spreads her knees, then crosses her legs.
BURLESQUE.srt 	BURLESQUE_DVS553 	01:20:02,00 --> 01:20:09,50 	eyeing the daybed, she pauses briefly, then crosses to the french doors and opens them.
BURLESQUE.srt 	BURLESQUE_DVS585 	01:26:59,00 --> 01:27:04,50 	she watches him cross back to the bedroom.
BURLESQUE.srt 	BURLESQUE_DVS655 	01:41:18,00 --> 01:41:25,50 	inside someone crosses a dim hallway adorned with memorabilia.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS458 	00:44:32,00 --> 00:44:38,50 	at home, he crosses week two off his maverick's chart.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS503 	00:49:01,00 --> 00:49:05,50 	they sit quietly with arms crossed,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS559 	00:53:55,00 --> 00:54:02,50 	later, he crosses week four off the chart and colors the breath-holding graph just under two minutes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS746 	01:14:01,00 --> 01:14:08,50 	amid the envelopes, he finds one with his name scrawled in red ink beside someone's crossed out name.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS921 	01:30:12,00 --> 01:30:18,50 	crossing the room, he flips open the lid and dumps out its contents.
CHRONICLE.srt 	CHRONICLE_DVS281 	00:43:16,00 --> 00:43:21,50 	someone starts to cross the stage with the cards.
CHRONICLE.srt 	CHRONICLE_DVS290 	00:44:18,00 --> 00:44:24,50 	with small heel-toe steps, he crosses the rope nimbly.
CHRONICLE.srt 	CHRONICLE_DVS324 	00:49:41,00 --> 00:49:46,50 	he watches a spider crossing in front of him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS60 	00:11:33,00 --> 00:11:45,50 	as one of its doors opens, someone crosses a dingy lot nearby where a crude tent sits near campfires.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS169 	00:36:06,00 --> 00:36:22,50 	in her sweater and scarf, someone crosses the snow to an alcove between buildings.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS189 	00:39:55,00 --> 00:40:03,50 	men and women in elegant attire carry wrapped presents as they cross from under an awning to a rolls royce.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS276 	01:06:50,00 --> 01:07:20,50 	someone crosses a carpet to a residential building's posh entry.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS323 	01:20:42,00 --> 01:21:11,50 	the bulldog grins, blood trickling from his mouth as he crosses the ring.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS374 	01:32:16,00 --> 01:32:22,50 	scowling, someone's manager watches mills cross the room.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS405 	01:38:03,00 --> 01:38:10,50 	winks as he crosses the room with a group of well-dressed friends.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS409 	01:38:39,00 --> 01:38:49,50 	as his fighter crosses the room, someone gives someone a reassuring gesture.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS413 	01:40:23,00 --> 01:40:30,50 	a smile crosses his face.
COLOMBIANA.srt 	COLOMBIANA_DVS246 	00:20:42,00 --> 00:20:49,50 	a trailways bus crosses a bridge and a bird's eye view follows it up a street.
COLOMBIANA.srt 	COLOMBIANA_DVS284 	00:23:48,00 --> 00:23:54,50 	she gets out of bed, crosses to a window, and peers outside.
COLOMBIANA.srt 	COLOMBIANA_DVS291 	00:24:16,00 --> 00:24:22,50 	she crosses to the girl and kneels before her.
COLOMBIANA.srt 	COLOMBIANA_DVS413 	00:36:32,00 --> 00:36:39,50 	later in a men's room, the young someone sets the thermos on a sink and crosses to a urinal.
COLOMBIANA.srt 	COLOMBIANA_DVS444 	00:39:15,00 --> 00:39:22,50 	crossing to the roof's edge, she leaps over and grabs onto a pipe just beneath the other side.
COLOMBIANA.srt 	COLOMBIANA_DVS484 	00:42:58,00 --> 00:43:04,50 	she discreetly brushes her hair over her face as she crosses the polished floor.
COLOMBIANA.srt 	COLOMBIANA_DVS509 	00:46:07,00 --> 00:46:15,50 	his boss exhales a plume of smoke as he crosses to a railing and gazes out over his grounds.
COLOMBIANA.srt 	COLOMBIANA_DVS513 	00:46:42,00 --> 00:46:50,50 	she pauses, most of her hair tucked under a hat and her features disguised by large sunglasses pushing them up on her nose, she crosses the sunny atrium.
COLOMBIANA.srt 	COLOMBIANA_DVS522 	00:47:12,00 --> 00:47:19,50 	she eats some with her hands as she crosses to a complex media console
DEAR_JOHN.srt 	DEAR_JOHN_DVS198 	00:31:15,00 --> 00:31:33,50 	his father closes the oven door, crosses to an island counter and watches him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS233 	00:36:12,00 --> 00:36:24,50 	at dusk, the platoon crosses the airfield and climbs the boarding steps of a cargo plane.
DEAR_JOHN.srt 	DEAR_JOHN_DVS296 	00:45:55,00 --> 00:46:24,50 	a horse-drawn cart, a woman on a bicycle, and a man on a scooter crosses path.
DEAR_JOHN.srt 	DEAR_JOHN_DVS337 	00:51:37,00 --> 00:51:47,50 	a stylish brunette woman in a white dress, crosses the front porch of a colonial plantation home, and greets arriving guests as she passes.
DEAR_JOHN.srt 	DEAR_JOHN_DVS392 	01:00:45,00 --> 01:00:51,50 	as the couple draws closer, a grin crosses someone's face.
DISTRICT_9.srt 	DISTRICT_9_DVS285 	00:31:53,00 --> 00:32:13,50 	now he crosses the office floor.
DISTRICT_9.srt 	DISTRICT_9_DVS548 	01:04:39,00 --> 01:04:44,50 	someone crosses a dirt road.
DISTRICT_9.srt 	DISTRICT_9_DVS604 	01:11:04,00 --> 01:11:07,50 	they cross the lab.
