21_JUMP_STREET.srt 	21_JUMP_STREET_DVS61 	00:06:17,00 --> 00:06:24,50 	reaching their destination, they climb off their bikes and lower their kickstands.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS117 	00:16:59,00 --> 00:17:05,50 	where a statue depicts jesus reaching from the cross.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS200 	00:34:59,00 --> 00:35:03,50 	the couch swats at his reaching hand.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS388 	01:05:52,00 --> 01:05:56,50 	they reach their car.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS444 	01:13:37,00 --> 01:13:43,50 	the vehicles reach the center of the bridge over a river.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS619 	01:34:12,00 --> 01:34:17,50 	pops up as the two cops reach the dancefloor.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS123 	00:32:50,00 --> 00:32:54,50 	they reach an aisle of toy guns.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS160 	00:42:01,00 --> 00:42:09,50 	as he reaches the other side, someone arrives at the start of the bridge and stops to catch his breath.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS186 	00:48:28,00 --> 00:48:34,50 	as the fat man reaches into the sack, blue paint explodes in his face.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS200 	00:50:52,00 --> 00:50:57,50 	reaching an intersection, he pulls the emergency break.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS212 	00:52:08,00 --> 00:52:13,50 	they reach the end of the narrow alley.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS271 	01:04:28,00 --> 01:04:33,50 	they reached the door of her stall.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS459 	01:18:13,00 --> 01:18:17,50 	someone reaches out to take her hand
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS504 	01:21:37,00 --> 01:21:42,50 	someone wearing his suit, reaches pavement level on an escalator.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS146 	00:13:45,00 --> 00:13:50,50 	as he watches his son reach the courthouse stairs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS196 	00:17:14,00 --> 00:17:21,50 	sitting up, an injured soldier reaches for his weapon as the masked men enter.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS241 	00:19:52,00 --> 00:20:03,50 	someone gets inside as the armored truck reaches someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS245 	00:20:27,00 --> 00:20:35,50 	reaching over, he grabs an earpiece from the glove box and puts it on.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS434 	00:42:04,00 --> 00:42:09,50 	then reach the threshold and pause.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS473 	00:46:07,00 --> 00:46:12,50 	someone reaches for someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS502 	00:48:48,00 --> 00:48:55,50 	someone surreptitiously reaches for the knife in his boot, as someone delivers a knee to someone's face.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS538 	00:52:18,00 --> 00:52:25,50 	someone reaches for someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS575 	00:58:49,00 --> 00:58:53,50 	he reaches over.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS624 	01:04:25,00 --> 01:04:31,50 	someone reaches into the trunk and hands him a sawed-off shotgun.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS680 	01:09:52,00 --> 01:09:59,50 	as she reaches the back wall, the tablet readings steadily drop to almost nothing.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS781 	01:18:04,00 --> 01:18:12,50 	as someone pins him by the neck, someone reaches into his coat.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS833 	01:22:49,00 --> 01:22:56,50 	inside, someone reaches the top and hurries on to the roof, with his pistol aimed.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS938 	01:31:02,00 --> 01:31:08,50 	reaching her brother, she flings her arms around him in a welcoming embrace.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS338 	00:59:45,00 --> 00:59:50,50 	someone climbs a ladder and reaches for the cat.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS403 	01:10:25,00 --> 01:10:31,50 	eyes shut he reaches out and grabs on to the tree's trunk.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS478 	01:21:56,00 --> 01:22:02,50 	someone's hand trembles as he slowly reaches out and answers his phone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS75 	00:08:33,00 --> 00:08:39,50 	he reaches into his jacket pocket and takes out his pistol.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS99 	00:10:53,00 --> 00:11:08,50 	amid the falling shards of wood, someone reaches towards someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS162 	00:21:31,00 --> 00:21:37,50 	as someone reaches his horse, someone approaches.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS183 	00:24:53,00 --> 00:25:06,50 	as someone reaches in his coat, stibble bears his fangs.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS211 	00:29:29,00 --> 00:29:45,50 	someone reaches in his pocket and throws a handful of grain.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS214 	00:29:51,00 --> 00:29:57,50 	the hunter reaches in his pocket, but finds no more grain.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS254 	00:37:05,00 --> 00:37:11,50 	she reaches through the bars and turns someone's head.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS288 	00:41:53,00 --> 00:42:11,50 	someone's spots his weapon and reaches for it, but someone stomps the handle flipping the ax into the air.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS337 	00:48:21,00 --> 00:48:26,50 	someone reaches into his jacket.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS564 	01:18:57,00 --> 01:19:02,50 	someone reaches the front and wipes off the headlamp.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS591 	01:21:44,00 --> 01:21:53,50 	he takes aim and reaches out to open it.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS640 	01:30:19,00 --> 01:31:04,50 	before the engine reaches the end, the bridge underneath it splits from the final portion of the track.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS647 	01:31:42,00 --> 01:31:47,50 	he reaches out and gives him a hand.
BAD_TEACHER.srt 	BAD_TEACHER_DVS61 	00:18:43,00 --> 00:18:47,50 	he reaches for his magazine.
BAD_TEACHER.srt 	BAD_TEACHER_DVS112 	00:30:25,00 --> 00:30:31,50 	unrolling her window a third of the way someone reaches out.
BAD_TEACHER.srt 	BAD_TEACHER_DVS273 	01:14:04,00 --> 01:14:14,50 	meeting his gaze, she cocks her head, stands, then reaches behind her back and under her sleeve.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS39 	00:03:33,00 --> 00:03:37,50 	now, he reaches into a box.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS228 	00:37:59,00 --> 00:38:03,50 	she reaches down to tug on the hiked skirt.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS387 	01:02:00,00 --> 01:02:04,50 	someone reaches over.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS462 	01:12:37,00 --> 01:12:44,50 	facing someone, someone presses the guard's head down and reaches over his back.
