30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS198 	00:50:35,00 --> 00:50:41,50 	one of the police cars crashes into a minivan.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS27 	00:02:41,00 --> 00:02:49,50 	someone the enforcer down and punches him in the face sending him crashing into the water.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS612 	01:25:58,00 --> 01:26:09,50 	as the train speeds alongside a wall, someone nearly crashes into some jutting rocks.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS633 	01:29:15,00 --> 01:29:34,50 	their railcar breaks free from the train crashing into the support structure below the track.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS83 	00:12:48,00 --> 00:12:54,50 	the devices spark as the car crashes to the stage.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS221 	00:39:10,00 --> 00:39:18,50 	the bullet hits the getaway car's driver in the head causing him to crash.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS224 	00:39:38,00 --> 00:39:47,50 	someone races up a parallel street, then tries to turn on to a main road, but instead crashes through a shop's front window.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS234 	00:40:42,00 --> 00:41:09,50 	someone staggers out of the crashed cab and waves his pistol at people standing by a bus.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS514 	01:32:23,00 --> 01:32:44,50 	another trooper crashes into the burning wreck and sails off his bike.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS597 	01:42:07,00 --> 01:42:13,50 	he speeds toward the open bay door and crashes into the plane's hold.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS162 	00:12:56,00 --> 00:13:00,50 	the board crashes over the break.
