21_JUMP_STREET.srt 	21_JUMP_STREET_DVS57 	00:06:00,00 --> 00:06:04,50 	they pass a joint around.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS80 	00:08:58,00 --> 00:09:04,50 	later, they strut into a police station passing two hookers.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS116 	00:16:56,00 --> 00:17:02,50 	passing the chapels few remaining pews he approaches the alter
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS244 	00:39:16,00 --> 00:39:23,50 	now someone, the dealer, and two friends pass someone and someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS282 	00:48:55,00 --> 00:49:00,50 	he passes it off to the nerds and follows.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS316 	00:53:31,00 --> 00:53:41,50 	one of someone's friends discreetly passes over an hfs wafer.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS316 	00:53:31,00 --> 00:53:41,50 	another teen passes someone a joint and he takes a hit.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS358 	00:59:22,00 --> 00:59:29,50 	now someone and someone pass a huge pool on their way to a chic modern home.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS647 	01:37:41,00 --> 01:37:47,50 	the cops leave their car passing a charred corpse.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS92 	00:22:25,00 --> 00:22:32,50 	his masked assailant covers his nose and mouth with a white rag until he passes out.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS182 	01:29:07,00 --> 01:29:13,50 	she flashes a big smile as she passes.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS58 	00:04:05,00 --> 00:04:10,50 	the road passes rapidly beneath the bike's wheels.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS178 	00:31:42,00 --> 00:31:49,50 	someone struts jauntily down the street and everyone who passes smiles at him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS315 	00:27:51,00 --> 00:27:58,50 	he hits the truck again and someone's van spins away, passing by someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS595 	01:01:32,00 --> 01:01:39,50 	as our view shifts, the flashlight passes over a high ceilinged open office space.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS239 	00:45:25,00 --> 00:45:31,50 	someone knocks down a passing man then grabs another doll of a blond woman's desk.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS178 	00:24:15,00 --> 00:24:29,50 	at night, we swoop low over the streets of springfield passing smoking chimneys as lightning flashes in the distance.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS283 	00:40:49,00 --> 00:41:06,50 	the vampire hunter rides on leaning down for his ax as he passes.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS409 	00:58:58,00 --> 00:59:05,50 	as the danger passes, someone stands and takes up the long poled oar.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS456 	01:05:21,00 --> 01:05:27,50 	later, she smiles and nods demurely as she passes someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS571 	01:19:54,00 --> 01:20:01,50 	riding ahead, someone passes ms. tubman and looms over someone on her horse.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	he massacres another, slashing his face several times, then passes the ax to someone.
BAD_TEACHER.srt 	BAD_TEACHER_DVS62 	00:18:49,00 --> 00:18:56,50 	the boy passes someone on his way out and she covers her nose.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS133 	00:19:56,00 --> 00:20:01,50 	a passing shopper addresses someone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS149 	00:23:34,00 --> 00:23:39,50 	someone waves to a group of passing girls.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS310 	00:50:32,00 --> 00:50:39,50 	outside a public high school, someone shows someone's cd to passing students.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS438 	01:10:00,00 --> 01:10:05,50 	they pass fountains on the promenade.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS544 	01:24:34,00 --> 01:24:40,50 	the mercedes barely zips pass a truck which blocks the road.
BLINDDATING.srt 	BLINDDATING_DVS134 	00:36:55,00 --> 00:36:59,50 	later, the goateed waiter pass their table.
BLINDDATING.srt 	BLINDDATING_DVS261 	01:02:57,00 --> 01:03:02,50 	someone squints at the passing city
