21_JUMP_STREET.srt 	21_JUMP_STREET_DVS32 	00:03:46,00 --> 00:03:50,50 	someone lifts the former nerd.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS38 	00:04:22,00 --> 00:04:30,50 	then lifts his mattress, dumping him off.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS319 	00:53:47,00 --> 00:53:51,50 	someone lifts up someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS23 	00:04:14,00 --> 00:04:20,50 	a young girl lifts her head from his lap and picks something from her mouth.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS113 	00:58:51,00 --> 00:59:01,50 	lifting it to his ear, he swallows hard.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS167 	01:22:57,00 --> 01:23:03,50 	later, he lifts an aqua man figure.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS168 	01:23:20,00 --> 01:23:27,50 	someone lifts a 12-inch six million dollar man figure.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS206 	01:41:34,00 --> 01:41:41,50 	she lifts a handheld showerhead attachment off its bracket
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS500 	01:21:15,00 --> 01:21:19,50 	it's lifted from her face
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS55 	00:04:08,00 --> 00:04:15,50 	without breaking his stride, he lifts a napkin on the counter and takes a gun hidden beneath it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS127 	00:11:15,00 --> 00:11:20,50 	grinning, the driver lifts his hand.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS400 	00:36:52,00 --> 00:37:01,50 	someone lifts his brow wryly.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS424 	00:41:16,00 --> 00:41:28,50 	someone faces someone, who lifts his brow sheepishly.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS460 	00:44:40,00 --> 00:44:45,50 	at a window, someone lifts the grated lid from a wooden radiator encasement.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS637 	01:06:02,00 --> 01:06:08,50 	he smiles at someone, then playfully lifts his chin in a nod.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS663 	01:08:10,00 --> 01:08:16,50 	someone lifts a tablet, reading the levels of radiation.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS681 	01:10:03,00 --> 01:10:10,50 	lifting an arm the fair-skinned beauty carefully removes her gas mask.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS822 	01:22:09,00 --> 01:22:17,50 	leaping up, someone grabs on to the open ramp door as the chopper slowly lifts off.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS96 	00:10:37,00 --> 00:10:51,50 	someone lifts the young man overhead then slams his face through the dock.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS243 	00:34:08,00 --> 00:34:13,50 	smirking, someone lifts his brow.
