A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS718 	01:12:41,00 --> 01:12:50,50 	in the vault, one of someone's men slides a uranium cylinder back into the case and secures the latch.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS851 	01:24:00,00 --> 01:24:06,50 	someone secures a chain to the truck and tops inside.
DISTRICT_9.srt 	DISTRICT_9_DVS751 	01:29:00,00 --> 01:29:09,50 	it secures itself to his head.
GREEN_ZONE.srt 	GREEN_ZONE_DVS232 	00:57:24,00 --> 00:57:30,50 	he secures his leg irons to a ring in the floor.
INSIDE_MAN.srt 	INSIDE_MAN_DVS201 	00:57:49,00 --> 00:57:56,50 	on the far wall of an office, secured with steel bars, someone unlocks a door and enters
INSIDE_MAN.srt 	INSIDE_MAN_DVS325 	01:36:23,00 --> 01:36:30,50 	they climb the foyer stairs and secure both sides of the lobby.
INSIDE_MAN.srt 	INSIDE_MAN_DVS334 	01:37:30,00 --> 01:37:33,50 	officers secure the key maker.
INSIDE_MAN.srt 	INSIDE_MAN_DVS397 	01:53:18,00 --> 01:53:28,50 	he steps warily past the secured office where a man uses the phone.
IRON_MAN_2.srt 	IRON_MAN_2_DVS560 	01:39:06,00 --> 01:39:16,50 	metal anchors fall down from their feet, securing them to the ground.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS181 	00:23:58,00 --> 00:24:05,50 	securing its rope leash to the bars, selvam faces someone's father.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS342 	00:41:46,00 --> 00:41:58,50 	finding a life preserver, he climbs up on the canvas secured tautly over the front half of the boat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS863 	01:27:00,00 --> 01:27:06,50 	someone secures his tools in the bow and grabs the journal.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS867 	01:27:19,00 --> 01:27:25,50 	he climbs onto the boat and secures a rope around his torso.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS885 	01:29:26,00 --> 01:29:31,50 	the tiger manages to secure his front legs on the bench.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS889 	01:29:48,00 --> 01:29:54,50 	he struggles to secure it to the hooks along the bow.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS891 	01:29:59,00 --> 01:30:05,50 	now someone secures the canvas to the final hook and cowers beneath.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS648 	01:18:47,00 --> 01:18:54,50 	he anchors the pole, securing the someone's bound hands between the bars.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS443 	01:22:27,00 --> 01:22:33,50 	someone yanks on his cuff secured tightly to the headboard.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1156 	01:43:10,00 --> 01:43:19,50 	someone hits the floor and someone covers him, securing them both to the metal hull as the jet rolls upside-down.
