21_JUMP_STREET.srt 	21_JUMP_STREET_DVS120 	00:17:54,00 --> 00:18:02,50 	the captain opens his office window.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS248 	00:41:09,00 --> 00:41:14,50 	as the door starts to open he forces his way in.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS275 	00:47:46,00 --> 00:47:52,50 	now someone and his partner open the door to find the nerds on their stoop.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS286 	00:49:34,00 --> 00:49:37,50 	in the hall, they open the door.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS368 	01:00:53,00 --> 01:00:58,50 	he spots a laptop on a desk and opens it.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS382 	01:04:52,00 --> 01:04:59,50 	sitting tensely behind him someone opens his desk drawer, then slams it.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS539 	01:23:25,00 --> 01:23:38,50 	now, in slow motion the door of a white limousine opens, releasing doves.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS553 	01:25:30,00 --> 01:25:41,50 	the teenager opens the doors of a suit to reveal coach someone who sits with a few piatas, watching tv and eating cool ranch doritos.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS558 	01:26:23,00 --> 01:26:32,50 	he opens the door to reveal the one-percenter's leader the bearded biker and the swarthy hispanic biker.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS585 	01:31:27,00 --> 01:31:34,50 	as the bikers reload, someone opens fire.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS21 	00:03:50,00 --> 00:03:59,50 	that night sitting on a stoop, the shaggy-haired young man opens a bottle of beer, tosses the cap and takes a sip.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS183 	00:47:51,00 --> 00:47:56,50 	someone opens a barred gate and enters the vault.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS279 	01:05:09,00 --> 01:05:17,50 	he opens the door with the pen poised in his right hand, then cautiously steps out of the bedroom.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS301 	01:07:39,00 --> 01:07:43,50 	he opens the drawer.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS58 	00:32:59,00 --> 00:33:09,50 	as he opens the fridge, he notices
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS105 	00:54:50,00 --> 00:54:58,50 	he opens it and peeks his head inside.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS123 	01:05:24,00 --> 01:05:30,50 	someone opens the nightstand.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS199 	01:38:28,00 --> 01:38:35,50 	now someone cuts open a taped box at her dining table.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS135 	00:25:43,00 --> 00:25:49,50 	later, someone opens his front door to his long-haired friend, someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS202 	00:33:27,00 --> 00:33:41,50 	day 35 rolls forward to day 303, and the lift door opens revealing a despondent, disheveled someone.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS260 	00:48:15,00 --> 00:48:20,50 	he wanders slowly to open the front door.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS339 	01:01:34,00 --> 01:01:40,50 	someone frantically packs away his headphones and opens a book.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS376 	01:08:10,00 --> 01:08:17,50 	in expectations, someone opens the door, smiles, and kisses someone on the lips.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS377 	01:08:24,00 --> 01:08:30,50 	in reality, she opens the door, gives him a friendly hug, and ushers him in.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS379 	01:08:38,00 --> 01:08:44,50 	in reality, she opens the gift in silence.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS94 	00:08:16,00 --> 00:08:21,50 	inside the plane, the name atop a file reads, someone opens it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS140 	00:13:20,00 --> 00:13:24,50 	as a policeman opens the truck, uniformed soldiers escort the prisoners out.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS335 	00:29:52,00 --> 00:29:58,50 	as the door opens, someone shoots the officers inside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS405 	00:37:37,00 --> 00:37:43,50 	inside, someone opens a locker and digs through the content.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS568 	00:54:49,00 --> 00:54:55,50 	he sits on the floor and opens his jacket to look at his side.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS632 	01:05:36,00 --> 01:05:41,50 	he opens his mouth and shakes it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS642 	01:06:29,00 --> 01:06:36,50 	another man opens the door completely to reveal a seemingly empty shelf.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS685 	01:10:20,00 --> 01:10:27,50 	someone opens an armored case, revealing two rows of metallic objects.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS858 	01:24:25,00 --> 01:24:32,50 	opening his eyes, someone sees the chopper shooting upward and losing control.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS889 	01:26:21,00 --> 01:26:30,50 	inside, someone kicks open a door to the flaming room.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS25 	00:05:57,00 --> 00:06:01,50 	someone opens a manuscript.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS30 	00:07:45,00 --> 00:07:52,50 	one woman opens her eyes and peeks sideways at someone who sits in their midst.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS131 	00:28:33,00 --> 00:28:40,50 	someone mimes drinking a cup of espresso, then spreads his hands and opens his mouth wide.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS209 	00:40:15,00 --> 00:40:22,50 	he arches his eyebrows and opens his mouth as if to speak, then furrows his brow.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS213 	00:41:16,00 --> 00:41:22,50 	he chokes himself then opens and closes one hand like a jabbering mouth.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS222 	00:43:22,00 --> 00:43:30,50 	at the coffee shop, someone mimes drinking, holding out his hands while opening his mouth wide, then pretends to pour something.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS232 	00:44:33,00 --> 00:44:37,50 	he opens a  desk drawer.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS243 	00:47:06,00 --> 00:47:13,50 	smiling, someone takes the bag and opens it.
