21_JUMP_STREET.srt 	21_JUMP_STREET_DVS52 	00:05:27,00 --> 00:05:31,50 	he hurls it back.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS234 	00:38:44,00 --> 00:38:50,50 	someone hurls the baton over the finish line and skips back and forth.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS97 	00:51:05,00 --> 00:51:15,50 	someone tosses his drink over his shoulder and hurls away a cigarette.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS861 	01:24:35,00 --> 01:24:41,50 	someone sees the truck hanging out and hurls the radio aside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS875 	01:25:29,00 --> 01:25:33,50 	he hurls someone off the roof.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	using the horse like a track and field hammer, he hurls it at his enemy knocking him to the ground.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS609 	01:25:30,00 --> 01:25:49,50 	as someone climbs back onto the roof, someone hurls a knife.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS342 	01:03:39,00 --> 01:03:47,50 	someone grabs a grenade from an open crate and hurls it into enemy ranks, exploding several hydra soldiers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS443 	01:19:56,00 --> 01:20:04,50 	someone moves ahead into a small clearing, then turns and hurls the shield into a treetop.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS452 	01:20:47,00 --> 01:21:01,50 	someone pulls out the masked driver and hurls him through the air.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS481 	01:24:49,00 --> 01:24:59,50 	someone grabs the shield and hurls it into the trooper.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS520 	01:33:11,00 --> 01:33:19,50 	he hurls his shield at another as his motorcycle coasts into a wall and explodes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS583 	01:40:47,00 --> 01:40:54,50 	someone fights off two more troopers, hurling one of them through the open bay.
