21_JUMP_STREET.srt 	21_JUMP_STREET_DVS237 	00:38:59,00 --> 00:39:08,50 	the coach tries to take it away but he keeps his hips
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS270 	00:47:05,00 --> 00:47:12,50 	at the police station someone enters an evidence locker while someone keeps lookout.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS559 	01:26:29,00 --> 01:26:35,50 	as a few others follow, someone and someone keep a low profile.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS588 	01:31:40,00 --> 01:31:45,50 	someone keeps his eyes squeamishly shut and fires upward.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS202 	01:39:19,00 --> 01:39:24,50 	someone keeps his eyes open.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS203 	01:40:42,00 --> 01:40:50,50 	someone keeps his eyes open.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS274 	00:23:35,00 --> 00:23:44,50 	someone keeps his flatbed right on their heels.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS314 	00:27:42,00 --> 00:27:50,50 	someone keeps his eyes on the armored truck ahead, rapidly approaching he collides with the rear end.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS321 	00:28:31,00 --> 00:28:36,50 	someone keeps his suv snug against the truck's side.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS417 	00:40:20,00 --> 00:40:25,50 	someone keeps an eye on their surroundings.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS454 	00:44:19,00 --> 00:44:23,50 	someone hangs back, keeping an eye on someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS457 	00:44:28,00 --> 00:44:31,50 	keeping his weapon ready, someone presses his lips together and plants his feet.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS617 	01:03:38,00 --> 01:03:44,50 	he keeps his gaze and flashlight trained on someone, who feels along the wall of deposit boxes.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS535 	01:15:46,00 --> 01:15:53,50 	she keeps her melancholy gaze averted as someone arrives.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS572 	01:20:00,00 --> 01:20:06,50 	she halts close to the first lady who keeps her face hidden.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS624 	01:27:51,00 --> 01:28:07,50 	he pulls back a lever, uses a piece of wood to keep it in place then leaves the controls.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS197 	00:32:55,00 --> 00:33:02,50 	as someone keeps grooving onstage, someone has a go dancing on a table.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS210 	00:34:28,00 --> 00:34:33,50 	as someone keeps eating, the girls stare.
BLINDDATING.srt 	BLINDDATING_DVS268 	01:05:56,00 --> 01:06:00,50 	she keeps after him.
BLINDDATING.srt 	BLINDDATING_DVS275 	01:07:58,00 --> 01:08:04,50 	and he keeps his head bowed.
BLINDDATING.srt 	BLINDDATING_DVS308 	01:15:30,00 --> 01:15:41,50 	someone keeps his eyes respectfully on the reunion.
BRUNO.srt 	BRUNO_DVS201 	00:54:09,00 --> 00:54:15,50 	someone keeps kicking.
BURLESQUE.srt 	BURLESQUE_DVS216 	00:31:50,00 --> 00:31:56,50 	as she doffs her jean jacket, she keeps watching.
BURLESQUE.srt 	BURLESQUE_DVS231 	00:33:55,00 --> 00:34:00,50 	someone and the others keep watching.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS136 	00:11:13,00 --> 00:11:20,50 	now, someone walks down the street to the beachfront, struggling to keep the board under his arm.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS163 	00:12:58,00 --> 00:13:04,50 	he holds on, shaking his drenched head, and keeps paddling.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS165 	00:13:05,00 --> 00:13:10,50 	he shakes it off again and keeps paddling.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS252 	00:19:48,00 --> 00:19:55,50 	the team moves along the ridge, keeping his eager gaze fixed on the older surfers.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS776 	01:17:05,00 --> 01:17:10,50 	keeping his gaze fixed ahead,
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1108 	01:46:13,00 --> 01:46:20,50 	as he struggles to keep his balance, it overtakes him and he disappears again.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS34 	00:07:53,00 --> 00:08:08,50 	now our view keeps moving to a white washed dresser top lined with a simple lace runner.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS124 	00:28:07,00 --> 00:28:19,50 	as someone bows his head again, someone keeps her tear-moistened eyes on him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS201 	00:42:00,00 --> 00:42:09,50 	keeping still, the businessmen eye the man standing before them.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS363 	01:28:22,00 --> 01:28:27,50 	someone and someone strain to keep smiles on their faces.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS383 	01:33:25,00 --> 01:33:34,50 	someone keeps his eyes glued to the screen as the promoter rewinds the reel.
COLOMBIANA.srt 	COLOMBIANA_DVS327 	00:28:44,00 --> 00:28:50,50 	keeping his arm around her, he saunters off casually down the sidewalk.
COLOMBIANA.srt 	COLOMBIANA_DVS780 	01:15:33,00 --> 01:15:40,50 	the older woman turns to face someone who keeps his gaze fixed forward.
DISTRICT_9.srt 	DISTRICT_9_DVS290 	00:32:30,00 --> 00:32:35,50 	it has to be, keep looking.
DISTRICT_9.srt 	DISTRICT_9_DVS557 	01:05:33,00 --> 01:05:44,50 	the gangsters keep their guns on someone, situated low in the ditch before their leader.
EASY_A.srt 	EASY_A_DVS311 	01:27:42,00 --> 01:27:48,50 	they drive onward, keeping their fists in the air.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS280 	01:13:27,00 --> 01:13:34,50 	someone keeps his hands off and looks helplessly to someone.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS92 	00:51:14,00 --> 00:51:23,50 	he wipes his hand on a potted plants wide leaf, then waddles back toward the line, keeping his legs together.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS109 	00:17:47,00 --> 00:18:11,50 	the rider keeps his head in a firm grip, staring relentlessly.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS216 	00:35:00,00 --> 00:35:40,50 	at the boom's opposite end, armed guards keep watch on a balcony on the excavator's base structure.
GREEN_ZONE.srt 	GREEN_ZONE_DVS79 	00:21:10,00 --> 00:21:51,50 	the bystander gets in his dusty car, keeping an eye on the group as general someone leads them through a gate.
GREEN_ZONE.srt 	GREEN_ZONE_DVS364 	01:23:47,00 --> 01:23:56,50 	elsewhere, the iraqi in street clothes keeps running.
GREEN_ZONE.srt 	GREEN_ZONE_DVS369 	01:25:17,00 --> 01:25:30,50 	as a crouched sniper keeps a bead on the iraqi men from 100 yards off, fellow soldiers creep across the street.
GREEN_ZONE.srt 	GREEN_ZONE_DVS380 	01:27:57,00 --> 01:28:04,50 	someone keeps an eye on the garage door guards.
IN_TIME.srt 	IN_TIME_DVS629 	01:07:10,00 --> 01:07:18,50 	he moves to someone, who keeps her gun aimed at the blond and sets the earrings in her palm.
INSIDE_MAN.srt 	INSIDE_MAN_DVS70 	00:18:31,00 --> 00:18:36,50 	someone keeps wailing on him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS243 	01:12:31,00 --> 01:12:38,50 	outside, snipers keep their guns trained on the bank.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS390 	01:49:42,00 --> 01:49:49,50 	someone climbs out of the suv and shuts the door keeping her eyes fixed.
JACK_AND_JILL.srt 	JACK_AND_JILL_DVS194 	00:37:34,00 --> 00:37:38,50 	someone keeps his gaze downward.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS18 	00:04:38,00 --> 00:04:44,50 	he keeps his hand on her chest.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS88 	00:33:09,00 --> 00:33:18,50 	all the while, keeping a cold glare fixed on someone.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS177 	01:03:21,00 --> 01:03:27,50 	someone punches him in the gut and keeps walking.
KARATE_KID.srt 	KARATE_KID_DVS118 	00:10:55,00 --> 00:11:01,50 	his friendly expression fades as they keep staring.
KARATE_KID.srt 	KARATE_KID_DVS1233 	01:41:04,00 --> 01:41:09,50 	someone sets the pictures down and eyes someone, who keeps his head bowed.
KARATE_KID.srt 	KARATE_KID_DVS1307 	01:45:32,00 --> 01:45:37,50 	someone coaches him to keep his fists up.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS254 	01:01:17,00 --> 01:01:24,50 	someone returns the key tin to its pot, then keeps his back to someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS172 	00:23:07,00 --> 00:23:14,50 	keeping his eyes fixed on someone parker's, someone's hand trembles with the slab of meat.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS207 	00:27:33,00 --> 00:27:44,50 	keeping her hands on her hips, the round-faced beauty steps forward.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS210 	00:27:50,00 --> 00:27:55,50 	she keeps her eyes cast down as her classmates smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS234 	00:32:08,00 --> 00:32:14,50 	blinking rapidly, someone keeps his gaze fixed on the horizon.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS401 	00:47:14,00 --> 00:47:20,50 	the spotted hyena keeps its four paws on the canvas, staring at someone.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS640 	01:08:51,00 --> 01:08:59,50 	he keeps hold of it with a rope as he crosses back to someone's side and puts the whistle to his lips.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS726 	01:15:28,00 --> 01:15:42,50 	someone maintains his balance and keeps the boat hook between them.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS747 	01:17:44,00 --> 01:17:50,50 	the teen flinches but keeps his spear aimed at the tiger.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS764 	01:18:52,00 --> 01:18:58,50 	someone keeps his eyes locked on the tiger's movement.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS821 	01:23:46,00 --> 01:23:52,50 	the tiger remains still, keeping his gaze fixed.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS878 	01:28:39,00 --> 01:28:53,50 	the tiger flails around in the boat, desperately clawing at the side to keep his head above water.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1058 	01:45:33,00 --> 01:45:39,50 	on the beach, someone struggles to keep his head up but collapses.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS233 	00:33:55,00 --> 00:34:00,50 	at home, someone keeps his balcony doors open.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS417 	01:26:59,00 --> 01:27:08,50 	she keeps trying.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS464 	01:51:30,00 --> 01:51:34,50 	she keep sword at his throat.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS468 	01:51:54,00 --> 01:52:05,50 	we keep pulling back until our view encompasses the entire clearing, the surrounding forest and the lakeshore, which meanders off into the distance.
PROMETHEUS.srt 	PROMETHEUS_DVS431 	00:43:46,00 --> 00:44:00,50 	holloway struggles to keep a hold on her.
PROMETHEUS.srt 	PROMETHEUS_DVS504 	00:53:36,00 --> 00:53:42,50 	keeping his index finger extended, someone pours a glass of liquor.
PROMETHEUS.srt 	PROMETHEUS_DVS600 	01:06:39,00 --> 01:06:46,50 	she keeps her back to us.
PROMETHEUS.srt 	PROMETHEUS_DVS967 	01:46:41,00 --> 01:46:49,50 	the second massive stub crashes into the ground behind them, and the ship keeps rolling.
PROMETHEUS.srt 	PROMETHEUS_DVS971 	01:47:07,00 --> 01:47:14,50 	as someone keeps running, someone looks up at the looming mass, then rolls out of its way.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS36 	00:05:53,00 --> 00:06:11,50 	someone struggles to keep his grip while holding on to the moving car himself.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS124 	00:23:00,00 --> 00:23:23,50 	the gang leader sips his drink and stands, keeping his eyes locked on the exotic woman.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS295 	00:55:25,00 --> 00:55:34,50 	seated between two of his captors, someone keeps his pensive gaze aimed downward.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS477 	01:30:25,00 --> 01:30:45,50 	the fugitive waves a hand low, paces backward, and keeps his someone gun under his coat.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS571 	01:46:17,00 --> 01:46:23,50 	she keeps her head down and looks directly at him.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS663 	02:05:00,00 --> 02:05:07,50 	keeping apace.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS19 	00:03:03,00 --> 00:03:08,50 	as the youngster keeps watch as his cohorts escape.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS67 	00:18:33,00 --> 00:18:40,50 	keeping his watchful gaze fixed on philip, someone approaches and sits beside him.
SALT.srt 	SALT_DVS260 	00:45:51,00 --> 00:46:03,50 	someone moves through the crowd, keeping an eye on him.
SALT.srt 	SALT_DVS515 	01:28:12,00 --> 01:28:25,50 	someone keeps his weary gaze fixed on someone.
SANCTUM.srt 	SANCTUM_DVS364 	01:11:24,00 --> 01:11:28,50 	he keep kimself onto the ledge.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1227 	01:22:24,00 --> 01:22:30,50 	someone keeps her gaze fixed slightly downward,
SOUL_SURFER.srt 	SOUL_SURFER_DVS84 	00:27:53,00 --> 00:28:15,50 	a nurse keeps someone and someone from entering.
SOUL_SURFER.srt 	SOUL_SURFER_DVS322 	01:35:20,00 --> 01:35:31,50 	she keeps just ahead of the barrel as it closes behind her.
SPARKLE_2012.srt 	SPARKLE_2012_DVS372 	01:03:09,00 --> 01:03:16,50 	he slowly turns away, keeping his menacing eyes locked on hers.
SPARKLE_2012.srt 	SPARKLE_2012_DVS389 	01:05:38,00 --> 01:05:43,50 	someone keeps her gaze on the floor.
SPARKLE_2012.srt 	SPARKLE_2012_DVS590 	01:36:20,00 --> 01:36:25,50 	keeping them shut, she plays the piano.
SUPER_8.srt 	SUPER_8_DVS558 	01:33:22,00 --> 01:33:29,50 	from across the chamber, someone keeps an eye on someone who continues to strike the lighter.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS407 	01:18:10,00 --> 01:18:14,50 	she keeps her gaze on him.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS203 	00:41:12,00 --> 00:41:17,50 	he shows the dice but she keeps her lips together.
THE_CALL.srt 	THE_CALL_DVS199 	00:15:58,00 --> 00:16:05,50 	resting her chin in her hand and keeping her eyes on the city, she nods.
THE_CALL.srt 	THE_CALL_DVS264 	00:22:35,00 --> 00:22:41,50 	she keeps her eyes on the phone.
THE_CALL.srt 	THE_CALL_DVS528 	00:40:51,00 --> 00:40:57,50 	he dials 911, keeping his gaze straight ahead.
THE_CALL.srt 	THE_CALL_DVS548 	00:42:11,00 --> 00:42:17,50 	the terrified teen keeps her eyes on the roof.
THE_CALL.srt 	THE_CALL_DVS671 	00:52:14,00 --> 00:52:21,50 	the kidnapper keeps his eyes on the pump as someone spots the man and desperately waves her arms.
THE_CALL.srt 	THE_CALL_DVS795 	01:00:25,00 --> 01:00:30,50 	she keeps her hand over her mouth.
THE_CALL.srt 	THE_CALL_DVS837 	01:03:45,00 --> 01:03:49,50 	gripping the top of her head, he roughly keeps the mask in place.
THE_CALL.srt 	THE_CALL_DVS841 	01:04:02,00 --> 01:04:09,50 	as he massages her scalp with shampoo, he keeps his face close to hers.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS220 	00:34:55,00 --> 00:35:02,50 	keeping his head down, he wipes his eyes and continues across the bridge.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS239 	00:37:57,00 --> 00:38:07,50 	wearing a white tee tucked into his khaki shorts, he keeps his back to someone, someone, and someone, who watch him halt on the grass.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS457 	01:08:28,00 --> 01:08:34,50 	but someone's long-legged stride keeps him several yards ahead.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS494 	00:56:19,00 --> 00:56:25,50 	she keeps her head bowed, her hair masking her face from view.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1128 	01:58:10,00 --> 01:58:18,50 	in the house someone keeps his gun trained on someone as he ushers him down a dark narrow stairway.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS114 	00:42:06,00 --> 00:42:11,50 	someone keeps his eyes fixed on the road.
THE_WATCH.srt 	THE_WATCH_DVS203 	00:37:18,00 --> 00:37:22,50 	he keeps a shotgun on them.
THE_WATCH.srt 	THE_WATCH_DVS449 	01:21:35,00 --> 01:21:41,50 	someone gestures to his friend to keep a lookout to their left.
THE_WATCH.srt 	THE_WATCH_DVS524 	01:31:43,00 --> 01:31:51,50 	the guys continue their dash to the exit, someone keeping hold of the orb.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS98 	00:29:31,00 --> 00:29:37,50 	keeping his eyes on her, someone opens the car's gull-wing door.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS282 	01:16:12,00 --> 01:16:18,50 	keeping his gaze on here, someone gives a soft nod.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS532 	01:56:17,00 --> 01:56:23,50 	leslie keeps her hand up as he fakes repeatedly.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS412 	01:14:36,00 --> 01:14:41,50 	keeping his stare on someone, someone ends the call.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS201 	00:26:16,00 --> 00:26:21,50 	someone keeps playing on his loft bed.
TRUE_GRIT.srt 	TRUE_GRIT_DVS292 	01:02:31,00 --> 01:02:36,50 	someone and someone keep watching from the hill.
TRUE_GRIT.srt 	TRUE_GRIT_DVS325 	01:09:47,00 --> 01:09:54,50 	he keeps hold of his horse's reigns and drunkenly struggles to his feet.
TRUE_GRIT.srt 	TRUE_GRIT_DVS421 	01:22:20,00 --> 01:22:25,50 	he keeps his gun pointed at someone.
TRUE_GRIT.srt 	TRUE_GRIT_DVS540 	01:37:24,00 --> 01:37:28,50 	but little blackie keeps going.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS371 	00:43:55,00 --> 00:44:08,50 	someone keeps wiping.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS654 	01:30:48,00 --> 01:30:54,50 	keeping his lips locked on someone's, someone dismisses him with a wave.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS149 	00:25:42,00 --> 00:25:49,50 	someone keeps his eyes on her until a tree finally blocks his view.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS365 	00:58:38,00 --> 00:58:41,50 	the grizzly keeps approaching.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS366 	00:58:39,00 --> 00:58:42,50 	the grizzly keeps approaching.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS451 	01:03:00,00 --> 01:03:07,50 	he playfully keeps the ball away, then faces her, holding the ball behind her head.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS603 	01:21:35,00 --> 01:21:42,50 	now we drift over trees to find an immaculately kept lawn set up for a wedding.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS138 	00:08:55,00 --> 00:09:01,50 	keeping an arm around the boy, he opens the lab door.
