21_JUMP_STREET.srt 	21_JUMP_STREET_DVS26 	00:03:12,00 --> 00:03:18,50 	he gives the trashcan a kick then grabs his aching leg.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS523 	01:22:11,00 --> 01:22:18,50 	inside, someone grabs a set of handcuffs.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS570 	01:29:04,00 --> 01:29:08,50 	someone grabs her.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS586 	01:31:32,00 --> 01:31:36,50 	he grabs the biker's bag.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS646 	01:37:34,00 --> 01:37:42,50 	as the white limo halts, someone gets out of the stalled silver one and grabs someone by the arm.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS56 	00:12:10,00 --> 00:12:19,50 	now in an apartment the shaggy-haired delivery guy grabs a rolling rock from a refrigerator, then enters the living room.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS58 	00:12:32,00 --> 00:12:37,50 	someone grabs a remote and shuts off the tv.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS74 	00:19:19,00 --> 00:19:25,50 	he grabs a component from a cluttered workbench.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS243 	00:58:11,00 --> 00:58:17,50 	someone pulls her down and slams her into someone's car, then grabs the bag.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS255 	01:00:48,00 --> 01:00:52,50 	he grabs his phone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS278 	01:05:04,00 --> 01:05:10,50 	from a desk he grabs a pen with a plunger at its end.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS290 	01:06:35,00 --> 01:06:41,50 	the hit man grabs his own gun and pistol-whips him.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS306 	01:10:07,00 --> 01:10:14,50 	someone sits in the passenger seat while someone grabs the loot and gets behind the wheel.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS64 	00:35:37,00 --> 00:35:43,50 	she grabs one end of the cloth.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS108 	00:18:40,00 --> 00:18:49,50 	someone smiles as she sings, then grabs another couple of beers and chasers from the bar.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS146 	00:27:44,00 --> 00:27:50,50 	she grabs a dummy remote from a coffee table and pretends to watch tv.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS190 	00:32:32,00 --> 00:32:38,50 	someone grabs a baseball bat and knocks an imaginary ball out of the park.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS203 	00:17:34,00 --> 00:17:41,50 	someone grabs a pistol from a deceased officer and pushes someone forward.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS245 	00:20:27,00 --> 00:20:35,50 	reaching over, he grabs an earpiece from the glove box and puts it on.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS381 	00:35:08,00 --> 00:35:15,50 	someone grabs a portable frame.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS820 	01:21:43,00 --> 01:21:52,50 	he grabs a weapon beside one of his dead men.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS838 	01:23:06,00 --> 01:23:21,50 	he grabs the steel handle and tugs.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS919 	01:28:35,00 --> 01:28:41,50 	grabbing someone's shirt, he helps him out of the water.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS149 	00:30:09,00 --> 00:30:13,50 	someone grabs the man.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS239 	00:45:25,00 --> 00:45:31,50 	someone knocks down a passing man then grabs another doll of a blond woman's desk.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS274 	00:51:35,00 --> 00:51:41,50 	as someone steps toward the door, someone hurries after her and grabs her arm.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS287 	00:53:06,00 --> 00:53:12,50 	staring at him, a nearby woman grabs a young girls hand and leads her away.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS366 	01:03:27,00 --> 01:03:31,50 	he grabs someone's collar.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS30 	00:03:35,00 --> 00:03:42,50 	he grabs the cane revealing its handle as a secret pistol aimed at his chest.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS98 	00:10:50,00 --> 00:10:55,50 	he grabs someone by the hair and flips him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS113 	00:12:10,00 --> 00:12:18,50 	he grabs a three-foot candlestick, gathers himself then barges into the next room.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS217 	00:30:15,00 --> 00:30:40,50 	someone grabs him and thrusts his head into the fire repeatedly stomping on the bellows.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	he boldly grabs the front leg of an oncoming horse, flipping the steed on its back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS284 	00:41:03,00 --> 00:41:22,50 	the vampire grabs the ax and flips someone on to the back of another horse.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS289 	00:42:08,00 --> 00:42:27,50 	the vampire grabs the ax and nearly splits someone's face.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS289 	00:42:08,00 --> 00:42:27,50 	someone grabs the shaft, extends it to reveal a hidden trigger, then shoots someone through his good eye.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS301 	00:43:40,00 --> 00:43:46,50 	someone kicks him down and swing, but someone grabs the ax once more.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS312 	00:45:36,00 --> 00:45:42,50 	he grabs a tuft of someone's hair and lowers him to his knee.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS322 	00:46:21,00 --> 00:46:37,50 	baring his newfound fangs, someone grabs his dagger and charges the vampire.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS403 	00:58:20,00 --> 00:58:30,50 	he grabs his ax.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS592 	01:21:50,00 --> 01:21:59,50 	hands burst through the baseboards and grab his ankles.
