21_JUMP_STREET.srt 	21_JUMP_STREET_DVS656 	01:38:41,00 --> 01:38:46,50 	a helicopter hovers overhead.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS322 	01:12:00,00 --> 01:12:06,50 	as someone sets the vest aside someone claps his hands overhead.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS551 	00:53:30,00 --> 00:53:35,50 	the chopper holds position and hovers overhead.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS96 	00:10:37,00 --> 00:10:51,50 	someone lifts the young man overhead then slams his face through the dock.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS194 	00:32:39,00 --> 00:32:47,50 	someone waves his fat lady arms overhead.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS560 	01:27:45,00 --> 01:27:50,50 	someone flutters her arms overhead.
BURLESQUE.srt 	BURLESQUE_DVS136 	00:18:43,00 --> 00:18:48,50 	she twirls a string of diamonds overhead.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS44 	00:03:04,00 --> 00:03:10,50 	as a yellow shape floats overhead, a hand reaches down and pulls him up by the scruff of his collar.
CHRONICLE.srt 	CHRONICLE_DVS65 	00:07:34,00 --> 00:07:47,50 	now, ravers wave glow sticks overhead as lasers beam across the dance floor.
CHRONICLE.srt 	CHRONICLE_DVS522 	01:14:17,00 --> 01:14:26,50 	as someone tries to prop himself up on his elbows, someone shakes both fists overhead in a primal scream.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS26 	00:06:48,00 --> 00:06:56,50 	she raises his arms overhead.
IRON_MAN_2.srt 	IRON_MAN_2_DVS314 	00:57:16,00 --> 00:57:28,50 	using his thrusters, someone hovers overhead.
IRON_MAN_2.srt 	IRON_MAN_2_DVS449 	01:22:50,00 --> 01:22:58,50 	someone pats his thighs, then throws his arms overhead.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS256 	01:27:06,00 --> 01:27:12,50 	someone raises her arms overhead and shakes her hips.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS265 	01:28:21,00 --> 01:28:29,50 	someone hulas in front of someone, then shakes her hips while raising her arms overhead.
KNOCKED_UP.srt 	KNOCKED_UP_DVS34 	00:23:27,00 --> 00:23:32,50 	raising his hands overhead.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS816 	01:23:13,00 --> 01:23:20,50 	from directly overhead, we view sharks and large fish swimming just beneath the boat.
PROMETHEUS.srt 	PROMETHEUS_DVS957 	01:45:54,00 --> 01:45:59,50 	the three shipmates raise their arms overhead.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS722 	00:47:31,00 --> 00:47:39,50 	someone and someone make their way through a tightly packed crowd of fans waving their arms overhead.
SUPER_8.srt 	SUPER_8_DVS192 	00:32:01,00 --> 00:32:08,50 	someone aims the camera at the crash site and peers through the lens as a helicopter hovers overhead.
THE_VOW.srt 	THE_VOW_DVS707 	01:39:14,00 --> 01:39:19,50 	an l train glides overhead.
THOR.srt 	THOR_DVS600 	01:31:50,00 --> 01:31:56,50 	in the desert, someone smiles as a funnel cloud forms overhead.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS99 	00:11:11,00 --> 00:11:21,50 	as someone grimaces, the magical smoke swirls overhead.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS106 	00:11:44,00 --> 00:11:49,50 	a female fairy flies overhead.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS421 	00:59:11,00 --> 00:59:21,50 	still in her tight cocktail dress, someone dances around the couch and faces someone, wildly waving her arms overhead and kicking her feet.
