40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS76 	00:40:29,00 --> 00:40:39,50 	he closes his mouth and stuffs his hands in his pockets.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS219 	00:38:24,00 --> 00:38:30,50 	someone closes the front door and walks slowly into the apartment with patterned wallpaper,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS307 	00:26:58,00 --> 00:27:07,50 	he quickly soars on to another highway, as the armored truck closes in.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS29 	00:07:38,00 --> 00:07:47,50 	inside an open sided pavilion chanting people wearing white clothing sit on the ground with their legs crossed and eyes closed.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS79 	00:21:22,00 --> 00:21:29,50 	he flips through its pages, glances around himself, then closes it.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS213 	00:41:16,00 --> 00:41:22,50 	he chokes himself then opens and closes one hand like a jabbering mouth.
BAD_TEACHER.srt 	BAD_TEACHER_DVS184 	00:51:58,00 --> 00:52:02,50 	she closes her lips.
BAD_TEACHER.srt 	BAD_TEACHER_DVS311 	01:24:08,00 --> 01:24:15,50 	he turns his back to her, closes his eyes for a moment, then faces her again.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS118 	00:16:16,00 --> 00:16:26,50 	as the suv speeds toward a closed gate, someone steps in front of it with his gun raised.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS119 	00:16:25,00 --> 00:16:35,50 	someone shoots through the windshield, then jumps away as the suv closes in.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS280 	00:47:59,00 --> 00:48:06,50 	someone closes his magazine and extends his hand.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS352 	00:57:37,00 --> 00:57:42,50 	she pulls the curtains closed.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS496 	01:19:32,00 --> 01:19:38,50 	someone closes her eyes and they kiss.
BLINDDATING.srt 	BLINDDATING_DVS13 	00:04:23,00 --> 00:04:29,50 	she holds her blouse closed over her chest.
BLINDDATING.srt 	BLINDDATING_DVS86 	00:25:27,00 --> 00:25:44,50 	there he closes the door and turns away with a frown.
BLINDDATING.srt 	BLINDDATING_DVS239 	00:58:02,00 --> 00:58:26,50 	she holds its stem delicately in her fingertips and closes her mouth sensuously around the fruit.
BLINDDATING.srt 	BLINDDATING_DVS288 	01:11:57,00 --> 01:12:13,50 	now, in recovery, someone lies with his eyes closed.
BRUNO.srt 	BRUNO_DVS112 	00:24:38,00 --> 00:24:43,50 	the middle-aged psychic closes his eyes.
BRUNO.srt 	BRUNO_DVS113 	00:24:49,00 --> 00:24:54,50 	someone closes his eyes, and strokes a leather collar.
BRUNO.srt 	BRUNO_DVS114 	00:25:16,00 --> 00:25:41,50 	with his eyes closed, he laps at the air.
BURLESQUE.srt 	BURLESQUE_DVS311 	00:43:27,00 --> 00:43:32,50 	she backs into his bedroom and closes the doors.
BURLESQUE.srt 	BURLESQUE_DVS467 	01:04:37,00 --> 01:04:43,50 	now someone lies on the daybed with his eyes closed.
BURLESQUE.srt 	BURLESQUE_DVS625 	01:33:35,00 --> 01:33:42,50 	silhouetted against a brilliant spotlight, someone closes her hands and gently lowers her arms.
BURLESQUE.srt 	BURLESQUE_DVS724 	01:49:06,00 --> 01:49:10,50 	then closes it again.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS54 	00:07:46,00 --> 00:07:51,50 	the nazi officer closes the box's lid.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS240 	00:41:42,00 --> 00:41:54,50 	someone hops in to the single person sub and closes its canopy as the craft descends.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS305 	00:58:17,00 --> 00:58:27,50 	the guard closes the cell door and leaves.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS317 	00:59:57,00 --> 01:00:05,50 	someone knocks the guard unconscious and drags out his body, then closes the door behind himself as he enters.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS372 	01:07:22,00 --> 01:07:34,50 	handing someone a set of keys, someone walks toward the aircraft as the elevator closes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS487 	01:25:13,00 --> 01:25:19,50 	someone stares downward and closes his eyes.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS556 	01:37:13,00 --> 01:37:20,50 	someone runs to his shield and pulls it free, then dashes through the doors as they close.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS594 	01:41:35,00 --> 01:41:44,50 	someone hops into the now empty cockpit and closes the canopy.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS640 	01:47:31,00 --> 01:47:36,50 	someone closes her eyes and smiles.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS491 	00:47:40,00 --> 00:47:45,50 	slack jawed, someone closes his eyes and shakes his head.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS553 	00:53:24,00 --> 00:53:29,50 	he shoves the money inside and closes it.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS127 	00:28:32,00 --> 00:28:42,50 	closing his eyes, he wraps his arms around her.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS372 	01:31:50,00 --> 01:31:54,50 	he closes the window blinds.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS375 	01:32:26,00 --> 01:32:30,50 	he closes the drapes.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS422 	01:42:02,00 --> 01:42:07,50 	someone closes the apartment door behind him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS438 	01:45:22,00 --> 01:45:30,50 	as she closes her eyes, someone regards his three children standing in a row.
COLOMBIANA.srt 	COLOMBIANA_DVS89 	00:06:57,00 --> 00:07:04,50 	he closes his eyes as he clutches his daughter, then opens them with a fearful look.
COLOMBIANA.srt 	COLOMBIANA_DVS167 	00:14:53,00 --> 00:14:58,50 	the motorcyclist closes in.
COLOMBIANA.srt 	COLOMBIANA_DVS238 	00:20:04,00 --> 00:20:10,50 	finding the door to the last stall closed, she walks over.
COLOMBIANA.srt 	COLOMBIANA_DVS600 	00:56:41,00 --> 00:56:48,50 	stepping out from the cage, she closes the door and gives them a firm look.
COLOMBIANA.srt 	COLOMBIANA_DVS620 	00:58:43,00 --> 00:58:50,50 	the head security guard steps into the mansion and closes the door.
COLOMBIANA.srt 	COLOMBIANA_DVS656 	01:01:34,00 --> 01:01:41,50 	he lifts the flower to his nose, closes his eyes, and takes a sniff.
COLOMBIANA.srt 	COLOMBIANA_DVS783 	01:15:44,00 --> 01:15:51,50 	as she lays her head on the old woman's shoulder, mama nuzzles against her and closes her eyes.
COLOMBIANA.srt 	COLOMBIANA_DVS978 	01:33:58,00 --> 01:34:03,50 	someone closes himself inside.
