21_JUMP_STREET.srt 	21_JUMP_STREET_DVS76 	00:08:32,00 --> 00:08:41,50 	someone leaps into someone's arms and the athletic cop swings his partner around.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS473 	01:17:23,00 --> 01:17:31,50 	he leaps straight up then dangles over the stage with someone clinging to his leg.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS355 	01:04:41,00 --> 01:04:46,50 	someone leaps up and chases the young lad.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS192 	00:17:01,00 --> 00:17:06,50 	someone leaps a half wall and faces someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS519 	00:50:23,00 --> 00:50:28,50 	the americans leap behind the bar.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS822 	01:22:09,00 --> 01:22:17,50 	leaping up, someone grabs on to the open ramp door as the chopper slowly lifts off.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS900 	01:26:55,00 --> 01:27:07,50 	in slow motion, he and someone leap out of the shattered window as the chopper's nose collides with the building.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS339 	00:59:50,00 --> 00:59:56,50 	the cat leaps on to someone's face.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS278 	00:39:51,00 --> 00:39:59,50 	someone leaps forward between two horses, grabs onto their necks and hangs between them.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS388 	00:54:19,00 --> 00:54:33,50 	they leap from a ledge in front of the painting and claw the wood floor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS584 	01:21:07,00 --> 01:21:15,50 	from the engine, someone leans out a window and spots several vampires leaping onto the freight cars.
