21_JUMP_STREET.srt 	21_JUMP_STREET_DVS54 	00:05:43,00 --> 00:05:48,50 	a boy defiantly holds out torn bread.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS187 	00:32:29,00 --> 00:32:35,50 	a pencil case holds wafers depicting the haloed poop logo.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS237 	00:38:59,00 --> 00:39:08,50 	on the tracks, someone holds the baton to his thrusting hips like a penis.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS266 	00:45:57,00 --> 00:46:04,50 	holding someone and someone in a disapproving glare he points at them accusingly.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS318 	00:53:42,00 --> 00:53:49,50 	someone and someone dance holding someone's naked childhood portrait between their hips.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS323 	00:53:56,00 --> 00:54:02,50 	someone holds someone's embarrassing portrait above the crowd.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS333 	00:55:14,00 --> 00:55:20,50 	later, someone holds someone's now defaced childhood portrait.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS492 	01:18:46,00 --> 01:18:50,50 	in his own room, someone holds a phone to his ear.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS540 	01:23:35,00 --> 01:23:47,50 	someone follows in matching attire holding a cardboard box marked doves.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS579 	01:30:59,00 --> 01:31:06,50 	someone holds a smoking gun.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS614 	01:33:57,00 --> 01:34:04,50 	now a slideshow of snapshots holds the attention of sentimental prom guests.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS28 	00:05:42,00 --> 00:05:47,50 	someone holds a crossbow.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS76 	00:20:18,00 --> 00:20:24,50 	on tv the bearded pizza man holds up a slice to his mouth.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS252 	01:00:04,00 --> 01:00:10,50 	in the garage, someone holds his cellphone to his ear.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS272 	01:04:30,00 --> 01:04:35,50 	someone nervously holds still.
