ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS47 	00:04:38,00 --> 00:04:43,50 	someone looks at his mother's sleeping face.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS472 	01:06:59,00 --> 01:07:07,50 	stretching, he finds someone sleeping on the bed cradling their son in her arms.
BRUNO.srt 	BRUNO_DVS157 	00:43:28,00 --> 00:43:44,50 	in a silk robe, someone rocks his baby to sleep.
BURLESQUE.srt 	BURLESQUE_DVS554 	01:20:07,00 --> 01:20:11,50 	she finds someone sleeping in the bed.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS323 	01:20:42,00 --> 01:21:11,50 	staggering, someone remembers his children sleeping in one bed and eating in a soup kitchen.
COLOMBIANA.srt 	COLOMBIANA_DVS281 	00:23:38,00 --> 00:23:44,50 	now a sunbeam shines on someone's face as she sleeps.
COLOMBIANA.srt 	COLOMBIANA_DVS424 	00:37:17,00 --> 00:37:22,50 	the prisoner sleeps sprawled on the cot.
COLOMBIANA.srt 	COLOMBIANA_DVS565 	00:51:42,00 --> 00:51:49,50 	now he sleeps curled up in bed while someone lies awake at his side.
COLOMBIANA.srt 	COLOMBIANA_DVS634 	00:59:45,00 --> 00:59:53,50 	in his bedroom, the portly scam artist sleeps amid his scantily clad companions.
DEAR_JOHN.srt 	DEAR_JOHN_DVS226 	00:35:17,00 --> 00:35:23,50 	now amongst sleeping soldiers, someone reads by flashlight.
FLIGHT.srt 	FLIGHT_DVS677 	01:31:46,00 --> 01:31:51,50 	in the morning, someone lies sleeping on the bed, fully dressed.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS202 	00:53:37,00 --> 00:53:54,50 	now sunlight shines on someone's hair as she sleeps, spooning with someone on her sofa.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS261 	01:09:05,00 --> 01:09:12,50 	someone's arm lies draped across his stomach, her hand to his, as she sleeps with her
HUGO.srt 	HUGO_DVS482 	01:10:39,00 --> 01:10:56,50 	someone looks up from a sleeping boy.
HUGO.srt 	HUGO_DVS632 	01:31:48,00 --> 01:31:57,50 	later, as the explorers sleep on the moon's surface,
IN_TIME.srt 	IN_TIME_DVS565 	01:00:29,00 --> 01:00:35,50 	he turns to someone, who sleeps on the couch, and loads his gun.
IN_TIME.srt 	IN_TIME_DVS690 	01:14:25,00 --> 01:14:30,50 	then returns it to the sleeping child and slips away.
INSIDE_MAN.srt 	INSIDE_MAN_DVS424 	02:00:55,00 --> 02:01:12,50 	now, a bare chested young man sleeps on a couch gripping a liquor bottle.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS230 	01:07:33,00 --> 01:07:52,50 	he surreptitiously takes the phone, creeps toward the door leaving someone typing on her laptop by a sleeping someone.
