30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS140 	00:38:10,00 --> 00:38:15,50 	someone lets him into the garage.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS203 	01:40:42,00 --> 01:40:50,50 	her mouth pinches his lower lip and stretches it as she lets her head loll
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS204 	01:41:03,00 --> 01:41:08,50 	she lets her satiny robe drop.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS195 	00:33:02,00 --> 00:33:07,50 	he strokes its head and lets it go.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS293 	00:53:45,00 --> 00:53:49,50 	and lets the balloon go.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS53 	00:03:57,00 --> 00:04:05,50 	a tiny window opens, a chef takes a scrap of paper and lets the young man in.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS410 	01:11:48,00 --> 01:11:53,50 	emily lets the phone fall from her ear.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS180 	00:24:30,00 --> 00:24:37,50 	the young man steps inside and lets the door swing shut behind him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS287 	00:41:33,00 --> 00:41:55,50 	he lets go.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS318 	00:46:03,00 --> 00:46:10,50 	someone slows his spin to a stop then let's his victim sink to the ground.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	he opens a door behind the monster letting him fall away.
BAD_TEACHER.srt 	BAD_TEACHER_DVS133 	00:35:16,00 --> 00:35:27,50 	clutching, he awkwardly dangles a few feet off the ground, then let's himself drop.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS588 	01:32:51,00 --> 01:32:56,50 	the russian lets him go.
BLINDDATING.srt 	BLINDDATING_DVS289 	01:12:13,00 --> 01:12:27,50 	she lets her brow brush his in a brief nuzzle, then straightens.
BLINDDATING.srt 	BLINDDATING_DVS303 	01:14:42,00 --> 01:15:00,50 	he bows his head, then lets his touch recognize her face.
BRUNO.srt 	BRUNO_DVS109 	00:23:43,00 --> 00:24:01,50 	he lets his pants fall, revealing his purple spandex briefs.
BURLESQUE.srt 	BURLESQUE_DVS181 	00:25:47,00 --> 00:25:52,50 	later he lets her in.
BURLESQUE.srt 	BURLESQUE_DVS224 	00:33:29,00 --> 00:33:35,50 	standing at a chair with her back turned, someone lets her hair down.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS27 	00:03:57,00 --> 00:04:06,50 	let them come.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS103 	00:17:10,00 --> 00:17:14,50 	someone lets out a deep sigh.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS462 	01:22:51,00 --> 01:22:57,50 	one by one, they let go of the handles and land on top of the train.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS156 	00:12:31,00 --> 00:12:39,50 	with his left foot planted on the nose, he bows his head, letting the lip of wave wet his hair.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS179 	00:14:08,00 --> 00:14:13,50 	crouching, he lets go of the rails.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS215 	00:17:16,00 --> 00:17:22,50 	he sits up on the board, letting his feet dangle in the water.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS896 	01:27:52,00 --> 01:27:57,50 	unlocking the front door, he lets someone inside.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS1116 	01:46:54,00 --> 01:47:01,50 	someone swerves right and shoots through the hollow, letting the wave curl over him.
CHRONICLE.srt 	CHRONICLE_DVS127 	00:19:18,00 --> 00:19:26,50 	filming himself in the mirror, he lowers his arms from the camera and lets it hover in front of him.
CHRONICLE.srt 	CHRONICLE_DVS387 	00:59:04,00 --> 00:59:13,50 	he disgustedly lets go of his cousin and glares at him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS26 	00:06:48,00 --> 00:06:56,50 	letting them back down, she grabs him by the collar and kisses him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS157 	00:34:25,00 --> 00:34:29,50 	he lets go of her hands.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS205 	00:42:37,00 --> 00:42:57,50 	the promoter reaches into his pocket then lets a handful of coins slide into the hat.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS291 	01:09:47,00 --> 01:09:54,50 	then lets her smile fade.
COLOMBIANA.srt 	COLOMBIANA_DVS312 	00:26:53,00 --> 00:27:02,50 	as someone leads her out, the principal sinks back down in her chair and lets out a nervous sigh.
COLOMBIANA.srt 	COLOMBIANA_DVS679 	01:04:25,00 --> 01:04:31,50 	as a man passes, she bows her head, letting her hair shield her face.
COLOMBIANA.srt 	COLOMBIANA_DVS727 	01:09:01,00 --> 01:09:11,50 	she raises her arms letting him lift off her shirt.
COLOMBIANA.srt 	COLOMBIANA_DVS1089 	01:43:10,00 --> 01:43:15,50 	someone lets out a whisper.
DEAR_JOHN.srt 	DEAR_JOHN_DVS84 	00:12:51,00 --> 00:12:56,50 	someone lets go of the shade and walks away.
DEAR_JOHN.srt 	DEAR_JOHN_DVS586 	01:22:14,00 --> 01:22:19,50 	he lets himself drift away from it.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS314 	01:17:32,00 --> 01:17:39,50 	he lets himself in, puts his bag and keys down in the hall
DISTRICT_9.srt 	DISTRICT_9_DVS443 	00:49:29,00 --> 00:49:57,50 	he settles newspaper around his alien arm, then lets his head fall back onto the foam.
