BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS271 	00:45:37,00 --> 00:45:41,50 	the girls file out.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS551 	01:25:36,00 --> 01:25:41,50 	at night, students file into an auditorium.
COLOMBIANA.srt 	COLOMBIANA_DVS617 	00:58:34,00 --> 00:58:39,50 	the bodyguards file into the mansion.
DEAR_JOHN.srt 	DEAR_JOHN_DVS228 	00:35:30,00 --> 00:35:37,50 	the soldiers file off a plane in their camouflaged uniforms.
IN_TIME.srt 	IN_TIME_DVS49 	00:05:23,00 --> 00:05:30,50 	now, the factory workers file past a scanner.
INSIDE_MAN.srt 	INSIDE_MAN_DVS346 	01:39:45,00 --> 01:39:58,50 	they file into the supply room and rummage through the three black trash bags in the center of the floor.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS313 	01:01:26,00 --> 01:01:31,50 	someone files down the grassy aisle in her heels.
KARATE_KID.srt 	KARATE_KID_DVS268 	00:24:29,00 --> 00:24:37,50 	now, as students file out from the school, someone lumbers down the front steps and shuffles glumly to the gate.
KARATE_KID.srt 	KARATE_KID_DVS441 	00:39:40,00 --> 00:39:47,50 	the group files off in the same direction that someone takes when leaving school.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS225 	00:55:51,00 --> 00:55:58,50 	in raleigh, north carolina, people file toward an arena.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS109 	00:25:07,00 --> 00:25:18,50 	the kids file out of the parlor past someone.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS299 	01:14:58,00 --> 01:15:12,50 	a buxom manicurist files his nails, while a pedicurist paints his cloven hooves cherry red.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS657 	02:04:09,00 --> 02:04:20,50 	the patrons stand, filing out of their rows.
SALT.srt 	SALT_DVS331 	00:59:19,00 --> 00:59:29,50 	later, the passengers file off the ferry, past a tv showing a newscast.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS382 	01:13:52,00 --> 01:14:01,50 	at the airport, someone and someone arrive at the boarding area where other passengers file through a gate.
THE_VOW.srt 	THE_VOW_DVS220 	00:28:14,00 --> 00:28:19,50 	later, the guests file out.
