A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS269 	00:50:03,00 --> 00:50:07,50 	he bears his teeth.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS174 	00:23:34,00 --> 00:23:45,50 	it bears a wax seal.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS183 	00:24:53,00 --> 00:25:06,50 	as someone reaches in his coat, stibble bears his fangs.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS516 	01:12:36,00 --> 01:12:53,50 	another bears his fangs.
BAD_TEACHER.srt 	BAD_TEACHER_DVS183 	00:51:53,00 --> 00:51:59,50 	she tightens her upper lip, bearing her top teeth.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS537 	01:23:36,00 --> 01:23:42,50 	the sedan bears a student driver sticker on its hood and trunk.
BURLESQUE.srt 	BURLESQUE_DVS487 	01:07:43,00 --> 01:07:48,50 	her costume bears two handprints on her buttocks.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS499 	01:28:24,00 --> 01:28:31,50 	at a hydra airfield, someone approaches a stool bearing  a bottle of white wine and a glass.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS218 	00:17:38,00 --> 00:17:45,50 	nearby, a trophy bearing his name stands by an alarm clock reading 4:00.
CHRONICLE.srt 	CHRONICLE_DVS240 	00:34:14,00 --> 00:34:19,50 	a certificate award bears someone's name.
COLOMBIANA.srt 	COLOMBIANA_DVS299 	00:25:34,00 --> 00:25:39,50 	it bears a drawing of zena on the back.
COLOMBIANA.srt 	COLOMBIANA_DVS435 	00:38:24,00 --> 00:38:32,50 	someone's dead body bears an orchid design drawn on his chest underneath the word traitor.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS91 	00:22:10,00 --> 00:22:14,50 	a ring bearing the crest.
DISTRICT_9.srt 	DISTRICT_9_DVS838 	01:39:00,00 --> 01:39:12,50 	his scalp bears swollen bald patches.
EASY_A.srt 	EASY_A_DVS107 	00:35:22,00 --> 00:35:28,50 	her mother enters, bearing a green box wrapped with a blue ribbon.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS114 	00:31:16,00 --> 00:31:22,50 	he pulls a shaggy teddy bear out from under the sheets.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS320 	00:41:09,00 --> 00:41:15,50 	the white-chested penguin bears a black someone over his heart.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS251 	00:52:13,00 --> 00:52:33,50 	it bears an ankle strap at the back and a pale pink bow and rhinestone buckle on the closed toe.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	with a faint smile, the city girl picks up the dainty blouse which bears small blue toned polka dots.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS253 	00:52:54,00 --> 00:54:08,50 	it bears a one-inch hole.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS241 	00:56:52,00 --> 00:57:04,50 	at a party, an award bearing someone's name sits on a table.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS256 	01:01:16,00 --> 01:01:24,50 	now a banner bears a logo, the x games.
