21_JUMP_STREET.srt 	21_JUMP_STREET_DVS412 	01:09:40,00 --> 01:09:46,50 	as the last of the bikers rides off, someone rises from someone's lap.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS466 	01:16:35,00 --> 01:16:45,50 	as someone rises off of the stage someone falls of a fake boulder and grabs on to his dangling partner.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS607 	01:33:31,00 --> 01:33:36,50 	as he takes aim at someone, someone rises from the floor.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS631 	01:35:16,00 --> 01:35:22,50 	as someone peeks through the sunroof, someone rises through his.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS209 	00:51:41,00 --> 00:51:48,50 	near the police car a stream of water rises four stories high.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS307 	01:10:11,00 --> 01:10:30,50 	now our view rises from one the van's headlights to someone, who drives with a determined look in his eyes, wearing his chimpanzee mask.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS309 	01:10:31,00 --> 01:10:37,50 	later that night our view rises from one of the mustang's headlights to someone,
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS314 	01:10:53,00 --> 01:11:00,50 	now our view rises from a heap of crushed cars to reveal the mustang arriving in the scrapyard.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS343 	01:15:55,00 --> 01:16:01,50 	embers rise into the air as he puts out the fire.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS518 	00:50:20,00 --> 00:50:26,50 	someone rises slightly from the floor and takes aim.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS824 	01:22:17,00 --> 01:22:23,50 	thick dust swirls beneath the rising helicopter.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS912 	01:27:52,00 --> 01:27:58,50 	a giant cloud of black smoke rises from the blazing remains.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS926 	01:30:16,00 --> 01:30:25,50 	from the burning structure, black smoke plumes into a sky cast rose and indigo by the light of a low sun.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS107 	00:11:35,00 --> 00:11:42,50 	the young man rises from the bed and braces himself on a mantle.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS225 	00:32:13,00 --> 00:32:22,50 	beaming hopefully, someone steps closer and rises up on her toes leaning her face toward his.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	the vampire rises to his feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	amid the chaos of the stampede, the horse rises with someone on its back.
