21_JUMP_STREET.srt 	21_JUMP_STREET_DVS498 	01:19:01,00 --> 01:19:08,50 	his mother looks out the window then shuts the laptop and gives her son a stern look.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS502 	01:19:14,00 --> 01:19:18,50 	staring at someone, someone shuts the hatchback.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS588 	01:31:40,00 --> 01:31:45,50 	someone keeps his eyes squeamishly shut and fires upward.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS339 	01:15:35,00 --> 01:15:39,50 	they shut the car doors.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS209 	01:42:06,00 --> 01:42:14,50 	with her eyes shut she waves her hands through the suds.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS91 	00:08:01,00 --> 00:08:07,50 	he gets out of the car with a small bag and shuts the door.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS102 	00:08:39,00 --> 00:08:45,50 	later in the dark, he reclines in his seat and shuts his eyes.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS588 	01:00:14,00 --> 01:00:17,50 	they shut the trunk.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS639 	01:06:16,00 --> 01:06:20,50 	someone shuts the trunk.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS854 	01:24:07,00 --> 01:24:14,50 	he shuts his eyes.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS352 	01:00:55,00 --> 01:00:59,50 	and shuts his eyes.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS371 	01:05:25,00 --> 01:05:31,50 	someone moves as if the speak, then shuts his mouth and smiles.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS403 	01:10:25,00 --> 01:10:31,50 	eyes shut he reaches out and grabs on to the tree's trunk.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS140 	00:17:27,00 --> 00:17:33,50 	someone kicks the door shut rendering the room pitch black.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS244 	00:34:14,00 --> 00:34:23,50 	an african-american man steps inside, takes off his hat and shuts the door.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS459 	01:05:38,00 --> 01:05:42,50 	she shuts the door.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS591 	01:21:44,00 --> 01:21:53,50 	someone slides it shut then turns to face another shuttered hatch.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS597 	01:22:43,00 --> 01:22:52,50 	as he slides it shut, countless more vampires leap onto the roof.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS606 	01:24:13,00 --> 01:24:35,50 	the vampire tries to bite his neck, but he flips his foe out of the rail car decapitating him as he shuts the door.
BAD_TEACHER.srt 	BAD_TEACHER_DVS244 	01:06:55,00 --> 01:07:13,50 	his eyes shut, someone rests his head next to someone's.
BAD_TEACHER.srt 	BAD_TEACHER_DVS255 	01:09:14,00 --> 01:09:22,50 	now as she shuts the door, stepping into the corridor, someone approaches.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS124 	00:18:36,00 --> 00:18:41,50 	someone shuts the laptop and smiles.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS143 	00:21:38,00 --> 00:21:43,50 	he enters the headmistress' office and shuts the door.
BRUNO.srt 	BRUNO_DVS103 	00:22:47,00 --> 00:22:58,50 	he guides ron someone into the bedroom, and shuts the door.
BURLESQUE.srt 	BURLESQUE_DVS555 	01:20:10,00 --> 01:20:15,50 	someone rolls her eyes resentfully and pulls the doors shut.
BURLESQUE.srt 	BURLESQUE_DVS557 	01:22:13,00 --> 01:22:19,50 	he shuts the bedroom doors.
BURLESQUE.srt 	BURLESQUE_DVS581 	01:26:29,00 --> 01:26:34,50 	someone steps into the bedroom and shuts the doors.
BURLESQUE.srt 	BURLESQUE_DVS586 	01:27:06,00 --> 01:27:10,50 	he shuts the doors.
BURLESQUE.srt 	BURLESQUE_DVS599 	01:28:22,00 --> 01:28:26,50 	he shuts the french doors.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS200 	00:16:11,00 --> 00:16:18,50 	as she climbs into the passenger seat and shuts the door, someone's smile fades.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS677 	01:05:38,00 --> 01:05:45,50 	in the kitchen, someone shuts a cabinet, a dishtowel in her free hand.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS799 	01:19:09,00 --> 01:19:15,50 	he steps through the wide-open gate and swings it shut behind him.
CHRONICLE.srt 	CHRONICLE_DVS60 	00:07:03,00 --> 00:07:08,50 	he reaches to shut off the camera.
CHRONICLE.srt 	CHRONICLE_DVS255 	00:38:44,00 --> 00:38:49,50 	she shuts the door on him and smiles.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS116 	00:26:30,00 --> 00:26:34,50 	someone shuts the door on a potbelly stove.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS247 	01:01:47,00 --> 01:01:56,50 	someone emerges in her bib front apron and watches her husband shut the door behind him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS331 	01:23:30,00 --> 01:23:34,50 	baer shuts the door in his face.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS532 	02:04:20,00 --> 02:04:31,50 	someone shuts her eyes and presses her knuckles to her lips.
COLOMBIANA.srt 	COLOMBIANA_DVS120 	00:09:42,00 --> 00:09:49,50 	as alicia falls still, someone rolls onto his back and shuts his eyes.
COLOMBIANA.srt 	COLOMBIANA_DVS356 	00:32:28,00 --> 00:32:33,50 	he leaves the gum on a crossbar then shuts the door.
COLOMBIANA.srt 	COLOMBIANA_DVS376 	00:33:53,00 --> 00:33:59,50 	she slowly opens a door, slips out and shuts it behind her.
COLOMBIANA.srt 	COLOMBIANA_DVS387 	00:34:49,00 --> 00:34:53,50 	she shuts the cabinet,
COLOMBIANA.srt 	COLOMBIANA_DVS454 	00:40:01,00 --> 00:40:06,50 	she hurries to her cell and shuts herself in.
COLOMBIANA.srt 	COLOMBIANA_DVS476 	00:42:12,00 --> 00:42:20,50 	the station doors shut as she reaches the sidewalk and peels a rubbery substance off her right hand.
