21_JUMP_STREET.srt 	21_JUMP_STREET_DVS445 	01:13:44,00 --> 01:13:51,50 	someone tosses out a sunshade which wraps around the biker's face.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS115 	00:29:46,00 --> 00:29:51,50 	she wraps her arms around his neck and kisses him.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS47 	00:22:40,00 --> 00:22:52,50 	the party girl wraps her arms around him and kisses him hungrily.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS121 	01:04:25,00 --> 01:04:31,50 	as they kiss, she wraps her legs around him.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS817 	01:21:16,00 --> 01:21:24,50 	blue and orange flame swirl from the blast point, wrapping around the pillar as someone cowers behind.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS392 	01:09:02,00 --> 01:09:08,50 	someone finds a roll of duct tape and wraps up the phone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS115 	00:12:32,00 --> 00:12:38,50 	the naked woman steps out wrapped in a white sheet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS314 	00:45:43,00 --> 00:45:55,50 	he watches someone wrap his arms around her.
BAD_TEACHER.srt 	BAD_TEACHER_DVS33 	00:11:58,00 --> 00:12:04,50 	as the movie starts someone wraps her sweater.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS252 	00:42:25,00 --> 00:42:31,50 	someone turns for someone to wrap the necklace around her neck.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS263 	00:44:49,00 --> 00:44:56,50 	someone wraps a scarf around his neck, then dances the charleston on the low, round table.
BLINDDATING.srt 	BLINDDATING_DVS288 	01:11:57,00 --> 01:12:13,50 	a bandage wraps his head, and a tube and wire trail from his hand.
BRUNO.srt 	BRUNO_DVS182 	00:48:39,00 --> 00:48:47,50 	both men are wrapped in gray blankets.
BRUNO.srt 	BRUNO_DVS196 	00:53:23,00 --> 00:53:27,50 	he wraps his leg around someone's knee.
BURLESQUE.srt 	BURLESQUE_DVS172 	00:25:07,00 --> 00:25:11,50 	he wraps his legs around her.
BURLESQUE.srt 	BURLESQUE_DVS327 	00:44:56,00 --> 00:45:01,50 	he wraps his arms around her and she rests her head on his shoulder.
BURLESQUE.srt 	BURLESQUE_DVS514 	01:10:58,00 --> 01:11:07,50 	one does a handstand and wraps her thighs around the doorman.
BURLESQUE.srt 	BURLESQUE_DVS727 	01:49:49,00 --> 01:49:57,50 	someone presses her hands to his toned chest, then wraps her arms around his neck.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS930 	01:31:07,00 --> 01:31:12,50 	someone steps out, wrapping herself in a sweater.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS104 	00:24:10,00 --> 00:24:18,50 	now, someone exits into an alley, his right arm wrapped in a towel.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS127 	00:28:32,00 --> 00:28:42,50 	closing his eyes, he wraps his arms around her.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS189 	00:39:55,00 --> 00:40:03,50 	men and women in elegant attire carry wrapped presents as they cross from under an awning to a rolls royce.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS273 	01:06:22,00 --> 01:06:34,50 	with their arms wrapped around each other, someone gently sets her down.
COLOMBIANA.srt 	COLOMBIANA_DVS560 	00:51:26,00 --> 00:51:31,50 	his tattooed arms wrap around her
COLOMBIANA.srt 	COLOMBIANA_DVS587 	00:55:19,00 --> 00:55:26,50 	she reaches out a dainty hand and affectionately wraps it around one of his fingers.
COLOMBIANA.srt 	COLOMBIANA_DVS750 	01:12:11,00 --> 01:12:18,50 	he slaps a folded paper into her palm, wraps her fingers around it, and presses it to her chest.
COLOMBIANA.srt 	COLOMBIANA_DVS1028 	01:37:22,00 --> 01:37:32,50 	she wraps a towel around his gun wielding wrist and pulls down as if operating a lever, using her own shoulder as a fulcrum to break his arm.
COLOMBIANA.srt 	COLOMBIANA_DVS1036 	01:37:46,00 --> 01:37:54,50 	he shoves her away but she wraps the towel around his neck and starts to choke him from behind.
COLOMBIANA.srt 	COLOMBIANA_DVS1039 	01:38:00,00 --> 01:38:12,50 	standing behind her, he wraps the towel around her neck and starts to choke her.
COLOMBIANA.srt 	COLOMBIANA_DVS1039 	01:38:00,00 --> 01:38:12,50 	removing her belt, she flips it over her head, wraps it around the back of his neck, and faces him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS137 	00:22:09,00 --> 00:22:21,50 	he lifts her up, and she wraps her legs around him.
DEAR_JOHN.srt 	DEAR_JOHN_DVS170 	00:26:55,00 --> 00:27:01,50 	turning, someone wraps her arms around him and lays him back against the dune.
DEAR_JOHN.srt 	DEAR_JOHN_DVS321 	00:49:33,00 --> 00:49:46,50 	on a country road, he nervously stares at the foiled wrapped meatloaf nestled in a cardboard box on his lap.
DEAR_JOHN.srt 	DEAR_JOHN_DVS364 	00:58:10,00 --> 00:58:22,50 	someone clasps someone's head in her hands, then wraps her arms around his neck and pulls him into a tight embrace.
DEAR_JOHN.srt 	DEAR_JOHN_DVS370 	00:58:59,00 --> 00:59:08,50 	then wraps her arms around his neck and kisses him hungrily.
DEAR_JOHN.srt 	DEAR_JOHN_DVS400 	01:01:32,00 --> 01:01:47,50 	someone bends down and wraps his arms around someone's waist.
DEAR_JOHN.srt 	DEAR_JOHN_DVS776 	01:41:49,00 --> 01:41:54,50 	grinning, she wraps her arms around someone's neck.
DISTRICT_9.srt 	DISTRICT_9_DVS408 	00:44:51,00 --> 00:44:58,50 	someone wraps an arm around her shoulders.
EASY_A.srt 	EASY_A_DVS107 	00:35:22,00 --> 00:35:28,50 	her mother enters, bearing a green box wrapped with a blue ribbon.
EASY_A.srt 	EASY_A_DVS110 	00:36:47,00 --> 00:36:53,50 	she pulls out a phallic object wrapped in tissue.
EASY_A.srt 	EASY_A_DVS307 	01:27:23,00 --> 01:27:29,50 	she wraps her arm around his chest and they ride off.
FLIGHT.srt 	FLIGHT_DVS146 	00:27:08,00 --> 00:27:13,50 	someone, his head wrapped in gauze,
FLIGHT.srt 	FLIGHT_DVS229 	00:49:24,00 --> 00:49:31,50 	he places his packet of money, wrapped in white paper labeled veal, and removes the bottle.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS48 	00:07:56,00 --> 00:08:05,50 	he grabs a chain from his bag, hurls it at someone, then wraps it around his neck.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS289 	00:44:40,00 --> 00:44:47,50 	sitting beside someone, she wraps an arm around him and kisses his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS341 	00:51:33,00 --> 00:51:39,50 	he finds a plastic wrapped twinkie and examines it then gives it a squeeze.
