30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS151 	00:39:45,00 --> 00:39:50,50 	mr. fisher presses a button and the garage door rises.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS63 	00:35:25,00 --> 00:35:32,50 	she presses a three-inch cloth strip onto the wax.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS88 	00:46:46,00 --> 00:46:52,50 	he eases under the covers and presses a remote control.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS122 	01:04:30,00 --> 01:04:35,50 	he presses his lips against hers.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS330 	00:29:20,00 --> 00:29:33,50 	pressing his lips together, he steers the van in a u-turn across the highway.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS457 	00:44:28,00 --> 00:44:31,50 	keeping his weapon ready, someone presses his lips together and plants his feet.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS230 	00:44:23,00 --> 00:44:27,50 	someone presses a button on the phone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS112 	00:12:02,00 --> 00:12:09,50 	hearing the sounds, someone hurries back down the steps and presses his ear to a door.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS220 	00:31:11,00 --> 00:31:17,50 	someone turns her head away and presses her lips together suppressing a smile.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS111 	00:15:40,00 --> 00:15:47,50 	someone presses his back to a wall, concealing himself behind some barrels.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS462 	01:12:37,00 --> 01:12:44,50 	facing someone, someone presses the guard's head down and reaches over his back.
BRUNO.srt 	BRUNO_DVS61 	00:12:19,00 --> 00:12:25,50 	the lead actor presses his hands to his brow.
BURLESQUE.srt 	BURLESQUE_DVS679 	01:45:17,00 --> 01:45:22,50 	he gives her a nod and she presses her lips to his.
BURLESQUE.srt 	BURLESQUE_DVS727 	01:49:49,00 --> 01:49:57,50 	someone presses her hands to his toned chest, then wraps her arms around his neck.
BURLESQUE.srt 	BURLESQUE_DVS729 	01:49:59,00 --> 01:50:06,50 	they part and someone slides her hands back down his chest as he presses his lips to her
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS169 	00:31:16,00 --> 00:31:23,50 	the white-haired woman steps behind a counter and presses a button located beside a submachine gun.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS329 	01:02:00,00 --> 01:02:08,50 	then presses a button on a control panel.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS632 	01:46:30,00 --> 01:46:36,50 	someone blinks, then furrows her brow, and presses her lips together.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS121 	00:09:36,00 --> 00:09:43,50 	he presses the board together and the clear glue bubbles up from the mended seam.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS550 	00:53:12,00 --> 00:53:19,50 	he presses his thumb against the ad and looks down at the unopened envelope from his father.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS124 	00:28:07,00 --> 00:28:19,50 	she leans close, nearly pressing her forehead to his, and drives her gaze squarely at him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS206 	00:42:58,00 --> 00:43:06,50 	someone looks on solemnly and presses his lips together.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS253 	01:02:43,00 --> 01:02:58,50 	pressing against him, someone puts her free hand on his shoulder as she turns the meat.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS445 	01:45:57,00 --> 01:46:07,50 	she presses her lips into a tight smile and nods slightly.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS532 	02:04:20,00 --> 02:04:31,50 	someone shuts her eyes and presses her knuckles to her lips.
COLOMBIANA.srt 	COLOMBIANA_DVS375 	00:33:50,00 --> 00:33:55,50 	she presses a red button on the wall.
COLOMBIANA.srt 	COLOMBIANA_DVS650 	01:00:58,00 --> 01:01:06,50 	he creeps down a flight of stairs, then presses his back to a wall as he reaches the bottom.
COLOMBIANA.srt 	COLOMBIANA_DVS721 	01:08:43,00 --> 01:08:48,50 	she leans closer and presses her lips to someone's.
COLOMBIANA.srt 	COLOMBIANA_DVS745 	01:10:39,00 --> 01:10:43,50 	he presses her against a shelf.
COLOMBIANA.srt 	COLOMBIANA_DVS750 	01:12:11,00 --> 01:12:18,50 	he slaps a folded paper into her palm, wraps her fingers around it, and presses it to her chest.
COLOMBIANA.srt 	COLOMBIANA_DVS981 	01:34:11,00 --> 01:34:17,50 	pressing her back to a wall, she fires up through the floorboards.
COLOMBIANA.srt 	COLOMBIANA_DVS991 	01:34:46,00 --> 01:34:52,50 	in the hidden compartment, someone presses his ear to the panel
DEAR_JOHN.srt 	DEAR_JOHN_DVS371 	00:59:11,00 --> 00:59:19,50 	as someone kisses someone's neck, she lowers her dress and presses her body against his.
DEAR_JOHN.srt 	DEAR_JOHN_DVS613 	01:24:05,00 --> 01:24:12,50 	his mouth twitches uneasily above his neatly pressed uniform shirt.
DEAR_JOHN.srt 	DEAR_JOHN_DVS643 	01:27:28,00 --> 01:27:32,50 	she presses her lips together.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS361 	01:27:20,00 --> 01:27:26,50 	he presses a button and the kite lights up.
DISTRICT_9.srt 	DISTRICT_9_DVS484 	00:56:18,00 --> 00:56:23,50 	he presses his hand to his head.
FLIGHT.srt 	FLIGHT_DVS969 	01:54:50,00 --> 01:54:55,50 	he tilts his head back, and presses the cloth to his nostril.
FLIGHT.srt 	FLIGHT_DVS1054 	01:58:41,00 --> 01:58:45,50 	someone presses a remote.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS387 	01:41:36,00 --> 01:41:49,50 	with their lips still pressed together, someone opens her eyes and smiles.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS299 	00:46:06,00 --> 00:46:17,50 	he presses someone's chest and the dead man's eyes open.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS315 	00:47:46,00 --> 00:47:53,50 	he presses a hand to the man's face which becomes dark with rotting flesh.
GREEN_ZONE.srt 	GREEN_ZONE_DVS448 	01:38:03,00 --> 01:38:15,50 	the battle scarred local presses his lips closed.
GROWN_UPS.srt 	GROWN_UPS_DVS293 	01:33:19,00 --> 01:33:35,50 	pressing his lips together, he shifts his gaze to bailey's wife, who watches hopefully.
HUGO.srt 	HUGO_DVS121 	00:15:43,00 --> 00:15:50,50 	someone motions for her to come outside then presses his palms together and pleads.
HUGO.srt 	HUGO_DVS191 	00:27:03,00 --> 00:27:08,50 	someone presses his lips together
HUGO.srt 	HUGO_DVS397 	00:59:52,00 --> 00:59:57,50 	someone presses the panel flush
HUGO.srt 	HUGO_DVS705 	01:43:35,00 --> 01:43:41,50 	he glances at the cafe owner who presses her hands over her heart.
IN_TIME.srt 	IN_TIME_DVS35 	00:04:08,00 --> 00:04:16,50 	he presses its curved receptor to the inside of his wrist.
IN_TIME.srt 	IN_TIME_DVS209 	00:21:52,00 --> 00:21:57,50 	he presses it to her neck, rocking back and forth.
IN_TIME.srt 	IN_TIME_DVS596 	01:03:41,00 --> 01:03:54,50 	someone retrieves it as someone holds someone down with one knee and presses his gun to his chest.
IN_TIME.srt 	IN_TIME_DVS640 	01:08:38,00 --> 01:08:43,50 	he leans closer and presses his lips to hers.
IN_TIME.srt 	IN_TIME_DVS957 	01:40:40,00 --> 01:40:45,50 	with a relieved look, he presses a hand to the back of her head,
INSIDE_MAN.srt 	INSIDE_MAN_DVS64 	00:17:28,00 --> 00:17:40,50 	someone glances at the executive, then presses a button.
INSIDE_MAN.srt 	INSIDE_MAN_DVS344 	01:39:13,00 --> 01:39:32,50 	someone presses the plungers, squirting red water.
IRON_MAN_2.srt 	IRON_MAN_2_DVS78 	00:15:24,00 --> 00:15:29,50 	someone presses a small hand-held computer's touch screen.
IRON_MAN_2.srt 	IRON_MAN_2_DVS97 	00:18:36,00 --> 00:18:41,50 	someone presses his right thumb onto a small device.
IRON_MAN_2.srt 	IRON_MAN_2_DVS136 	00:25:28,00 --> 00:25:34,50 	someone presses his thumb onto an ink pad, then puts his fingerprint on a form.
IRON_MAN_2.srt 	IRON_MAN_2_DVS233 	00:43:09,00 --> 00:43:14,50 	someone sticks the putty on the wall and presses a button.
IRON_MAN_2.srt 	IRON_MAN_2_DVS256 	00:47:39,00 --> 00:47:46,50 	someone presses buttons on a security system, opens a glass door, and steps into the basement.
IRON_MAN_2.srt 	IRON_MAN_2_DVS490 	01:28:11,00 --> 01:28:21,50 	someone presses buttons on a panel, unlocking a door.
IRON_MAN_2.srt 	IRON_MAN_2_DVS694 	01:54:24,00 --> 01:54:30,50 	someone fury steps up and presses the folder to the desktop.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS114 	00:34:59,00 --> 00:35:05,50 	smiling at each other they press their foreheads together.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS314 	01:30:24,00 --> 01:30:30,50 	she presses her forehead to his and shakes her head.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS42 	00:05:03,00 --> 00:05:08,50 	someone presses his lips to her cheek.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS339 	01:05:00,00 --> 01:05:05,50 	he presses his lips to her forehead once again.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS446 	01:28:03,00 --> 01:28:10,50 	they look at each other, and someone worriedly presses her lips together.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS293 	01:35:12,00 --> 01:35:21,50 	someone jogs back to the elevators and presses the call button.
KARATE_KID.srt 	KARATE_KID_DVS315 	00:28:11,00 --> 00:28:21,50 	someone detours down a short corridor, glances toward one offshoot, then ducks around another corner, and presses his back to the wall.
KARATE_KID.srt 	KARATE_KID_DVS520 	00:47:16,00 --> 00:47:23,50 	someone repeats the process, and someone winces as the man presses against him.
KARATE_KID.srt 	KARATE_KID_DVS550 	00:49:45,00 --> 00:49:53,50 	someone presses his lips together, then returns his gaze to the door.
KARATE_KID.srt 	KARATE_KID_DVS836 	01:09:18,00 --> 01:09:22,50 	the spotlight silhouettes them as they move closer and touch foreheads, then press their lips together in a gentle steady kiss.
KARATE_KID.srt 	KARATE_KID_DVS1474 	01:59:52,00 --> 02:00:01,50 	in unison, the two opponents press their fists to their open palms and bow deeply from the waist.
KARATE_KID.srt 	KARATE_KID_DVS1589 	02:09:35,00 --> 02:09:48,50 	he presses his painfully grimacing face to the mat, clutching his thigh.
KARATE_KID.srt 	KARATE_KID_DVS1626 	02:12:19,00 --> 02:12:25,50 	writhing before him, someone presses a hand over his left eye.
KARATE_KID.srt 	KARATE_KID_DVS1648 	02:13:51,00 --> 02:13:57,50 	the boy earnestly presses his fist to his open palm.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS192 	00:51:29,00 --> 00:51:36,50 	the trainer pushes on someone's left leg then presses down on her spread knees.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS23 	00:06:57,00 --> 00:07:21,50 	now on his back, he presses his hands to his face.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS267 	01:03:57,00 --> 01:04:05,50 	pressing her hands to the door the teacher peers through a peep hole and sees someone as he joyfully move around.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS283 	01:07:41,00 --> 01:07:52,50 	with his lips pressed in a solemn line someone gives a respectful nod.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS142 	00:17:56,00 --> 00:18:04,50 	someone removes his hand from a vishnu figure and presses his palms together in christian prayer.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS196 	00:25:37,00 --> 00:25:42,50 	with his head pressed to his mother's bosom.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS530 	00:57:57,00 --> 00:58:02,50 	he presses the tip to the paper making a period.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS606 	01:06:23,00 --> 01:06:30,50 	shaking water out of his pressed back ears, someone turns toward him.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS992 	01:37:35,00 --> 01:37:43,50 	someone presses his lips together with a resigned smile as someone someone lies down and eats his meal.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS185 	01:08:24,00 --> 01:08:29,50 	someone presses the elevator button.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS206 	01:13:46,00 --> 01:13:51,50 	he licks his lips, presses them tight, and leaves.
MORNING_GLORY.srt 	MORNING_GLORY_DVS69 	00:12:40,00 --> 00:12:44,50 	he presses the button.
MORNING_GLORY.srt 	MORNING_GLORY_DVS182 	00:41:54,00 --> 00:41:59,50 	and presses herself against the wall in shame.
MORNING_GLORY.srt 	MORNING_GLORY_DVS369 	01:21:11,00 --> 01:21:17,50 	she sits in the back of a taxi and presses her hand to her forehead.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS98 	00:14:17,00 --> 00:14:22,50 	our view presses in on the envelope.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS552 	01:05:40,00 --> 01:05:47,50 	someone crouches over the egg and presses a stethoscope to it.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS124 	00:28:34,00 --> 00:28:48,50 	someone stares stoically, her snaggletooth pressing into her lower lip.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS145 	00:33:00,00 --> 00:33:19,50 	she presses the letter to her lips.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS269 	00:59:08,00 --> 00:59:25,50 	her lips pressed into a brisk smile, someone opens the envelope.
NANNY_MCPHEE_RETURNS.srt 	NANNY_MCPHEE_RETURNS_DVS316 	01:09:26,00 --> 01:09:30,50 	someone presses his lips tightly.
NO_STRINGS_ATTACHED.srt 	NO_STRINGS_ATTACHED_DVS190 	00:33:43,00 --> 00:33:48,50 	he presses his lips together thoughtfully,
PROMETHEUS.srt 	PROMETHEUS_DVS137 	00:08:13,00 --> 00:08:19,50 	the man presses it with his finger.
PROMETHEUS.srt 	PROMETHEUS_DVS220 	00:17:48,00 --> 00:17:55,50 	holloway presses a few squares that make up the cube and it projects a series of images.
PROMETHEUS.srt 	PROMETHEUS_DVS288 	00:28:30,00 --> 00:28:36,50 	he presses her helmet to his with an ardent gaze, then turns away.
PROMETHEUS.srt 	PROMETHEUS_DVS352 	00:34:47,00 --> 00:34:51,50 	then presses it to his thumb.
PROMETHEUS.srt 	PROMETHEUS_DVS357 	00:35:01,00 --> 00:35:08,50 	someone runs his finger along a few of the lines and presses the engraved dots.
PROMETHEUS.srt 	PROMETHEUS_DVS652 	01:11:21,00 --> 01:11:26,50 	as he presses a sequence of them
PROMETHEUS.srt 	PROMETHEUS_DVS655 	01:11:30,00 --> 01:11:34,50 	someone presses it.
PROMETHEUS.srt 	PROMETHEUS_DVS690 	01:13:43,00 --> 01:13:52,50 	the pilot presses more buttons and another orb drifts downward in a net of green energy beams.
PROMETHEUS.srt 	PROMETHEUS_DVS749 	01:21:02,00 --> 01:21:10,50 	as the crewman forces her down, someone presses up on the plastic covering his face.
PROMETHEUS.srt 	PROMETHEUS_DVS815 	01:27:29,00 --> 01:27:34,50 	she presses a button and the doors part.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS253 	00:47:39,00 --> 00:47:50,50 	leaning forward, she cups the back of someone's head in her hand and presses her lips to his.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS579 	01:47:49,00 --> 01:47:57,50 	someone presses down on the arms of the chair to get up, then stops.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS138 	00:23:24,00 --> 00:23:28,50 	he presses a few buttons.
SALT.srt 	SALT_DVS171 	00:29:14,00 --> 00:29:25,50 	presses her back to the wall, hiding behind the air conditioner.
SALT.srt 	SALT_DVS245 	00:42:05,00 --> 00:42:26,50 	taking his hand, she presses her lips to it.
SALT.srt 	SALT_DVS253 	00:43:35,00 --> 00:43:41,50 	she presses a button on the square component and a red light illuminates.
SALT.srt 	SALT_DVS378 	01:07:24,00 --> 01:07:36,50 	she giggles and buries her face against the shoulder of someone's neatly pressed suit.
SALT.srt 	SALT_DVS411 	01:12:16,00 --> 01:12:24,50 	someone presses a remote then explodes.
SALT.srt 	SALT_DVS445 	01:16:57,00 --> 01:17:03,50 	and opens it and presses his thumb on a fingerprint scanner inside.
SALT.srt 	SALT_DVS471 	01:20:45,00 --> 01:20:54,50 	someone presses a button on the wall intercom.
SANCTUM.srt 	SANCTUM_DVS99 	00:20:02,00 --> 00:20:08,50 	sitting back in her harness, her feet pressed against the rock wall.
SANCTUM.srt 	SANCTUM_DVS297 	00:59:35,00 --> 00:59:46,50 	someone looks back at his hesitant friend who makes a fist and presses on.
SANCTUM.srt 	SANCTUM_DVS425 	01:21:41,00 --> 01:21:51,50 	later, he and someone climb a narrow gap between two rock faces, pressing their backs to one and gripping the other with their hands and feet.
