21_JUMP_STREET.srt 	21_JUMP_STREET_DVS418 	01:10:47,00 --> 01:10:59,50 	someone observes an instruction card, before you drive fasten seatbelt, check mirrors, hands on ten and two.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS670 	01:40:49,00 --> 01:40:57,50 	someone sits glumly in the back of an ambulance as a someone checks on her.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS83 	00:21:16,00 --> 00:21:25,50 	the delivery guy checks it against his order ticket then pulls the rest of the way through and drives down a long dirt lot.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS97 	00:22:45,00 --> 00:22:49,50 	someone checks his wallet.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS141 	00:38:12,00 --> 00:38:18,50 	someone sets down the bag, then checks items dangling from a shelf.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS179 	00:31:46,00 --> 00:31:51,50 	he pauses to check his look in a shop window.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS160 	00:14:44,00 --> 00:14:50,50 	in the truck, a dark-haired man checks the timer on his watch.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS165 	00:15:06,00 --> 00:15:13,50 	using a rounded mirror on a pole, a soldier checks the underside of the first sedan,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS306 	00:26:56,00 --> 00:27:01,50 	checking his mirror, someone takes an off-ramp.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS363 	00:33:26,00 --> 00:33:33,50 	someone checks an ammo cartridge in the handle of a small switchblade.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS401 	00:37:00,00 --> 00:37:04,50 	someone checks the gun's chamber and clip, then holsters it in his waistband.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS39 	00:10:02,00 --> 00:10:09,50 	someone checks his phone then returns it to his jacket pocket.
BAD_TEACHER.srt 	BAD_TEACHER_DVS207 	00:57:33,00 --> 00:57:43,50 	bathroom stall, yawning as she checks her cell phone.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS80 	00:12:22,00 --> 00:12:28,50 	checking himself out in a mirror, someone puts up his dukes.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS150 	00:24:04,00 --> 00:24:09,50 	he checks out beauties on the quad.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS439 	01:10:13,00 --> 01:10:19,50 	nearby, scratch and rembrandt check out girls.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS475 	01:13:52,00 --> 01:13:58,50 	he checks the knapsack again, then turns on the closet's overhead light.
BLINDDATING.srt 	BLINDDATING_DVS225 	00:55:33,00 --> 00:55:37,50 	he checks his list.
BLINDDATING.srt 	BLINDDATING_DVS324 	01:17:41,00 --> 01:17:48,50 	someone checks his eyes.
BRUNO.srt 	BRUNO_DVS78 	00:16:36,00 --> 00:16:41,50 	someone tilts his head, checking out someone's.
BURLESQUE.srt 	BURLESQUE_DVS589 	01:27:22,00 --> 01:27:28,50 	as he returns to the bedroom, she checks him out again.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS223 	00:39:31,00 --> 00:39:41,50 	someone checks his rear-view mirror as he negotiates the bullet-ridden taxi down crowded city streets.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS228 	00:40:03,00 --> 00:40:09,50 	someone checks his rear-view mirror again as someone gains on him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS463 	00:44:59,00 --> 00:45:05,50 	stopping, someone exhales and checks his watch.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS639 	01:02:08,00 --> 01:02:13,50 	someone checks his wristwatch.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS872 	01:25:10,00 --> 01:25:16,50 	he curls in his finger, surfaces and checks his watch.
CHRONICLE.srt 	CHRONICLE_DVS148 	00:22:52,00 --> 00:22:56,50 	as she checks an item on a shelf.
CHRONICLE.srt 	CHRONICLE_DVS252 	00:37:44,00 --> 00:37:48,50 	someone checks his cellphone.
CHRONICLE.srt 	CHRONICLE_DVS285 	00:43:53,00 --> 00:43:57,50 	now, someone checks a tightrope.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS38 	00:08:23,00 --> 00:08:37,50 	he checks his fake tooth in a mirror rubbing it with a forefinger.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS278 	01:07:27,00 --> 01:07:33,50 	inside, someone walks to the door and checks the peephole.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS387 	01:34:24,00 --> 01:34:50,50 	the footage shows the referee checking the downed fighter and his corner men rushing in.
COLOMBIANA.srt 	COLOMBIANA_DVS237 	00:20:00,00 --> 00:20:07,50 	in the corridor, her escort checks her watch then peers inside the restroom.
COLOMBIANA.srt 	COLOMBIANA_DVS394 	00:35:09,00 --> 00:35:15,50 	someone reaches a large ventilation fan and checks her watch.
COLOMBIANA.srt 	COLOMBIANA_DVS409 	00:36:18,00 --> 00:36:22,50 	he checks on someone.
COLOMBIANA.srt 	COLOMBIANA_DVS422 	00:37:08,00 --> 00:37:13,50 	checking the clip, she finds it fully loaded.
