500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS545 	01:30:30,00 --> 01:30:35,50 	the sun shines on the line drawing city.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS399 	01:10:05,00 --> 01:10:11,50 	with the sun shining brightly overhead, someone walks outside.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS519 	01:12:57,00 --> 01:13:06,50 	he holds up a shaking hand and a shaft of light shining through a hole in his chest hits his palm.
BURLESQUE.srt 	BURLESQUE_DVS737 	01:50:39,00 --> 01:50:47,50 	now on a dark stage, a spotlight shines down on someone, who wears a sparkling outfit and her platinum wig.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS46 	00:06:30,00 --> 00:06:38,50 	the bearded man gazes toward bright light shining through the hole in the tower, then glances at a wall panel.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS643 	01:48:13,00 --> 01:48:20,50 	the sun shines low in the sky across a windblown expanse of ice and snow.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS758 	01:16:04,00 --> 01:16:11,50 	now, the sun shines wanly through a thick haze and gleams on a calm grey sea.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS940 	01:32:12,00 --> 01:32:20,50 	now, the sun shines brightly on a slate blue sea rolling beyond the meteorological complex.
COLOMBIANA.srt 	COLOMBIANA_DVS281 	00:23:38,00 --> 00:23:44,50 	now a sunbeam shines on someone's face as she sleeps.
COLOMBIANA.srt 	COLOMBIANA_DVS712 	01:07:46,00 --> 01:07:51,50 	she stares off, her eyes shining with tears.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS401 	00:59:11,00 --> 00:59:19,50 	a brilliant light flashes then shines down on him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS258 	01:19:28,00 --> 01:19:41,50 	with only the police floodlights shining dimly through the windows, the pistol-wielding robber follows behind the detective.
KARATE_KID.srt 	KARATE_KID_DVS1245 	01:41:39,00 --> 01:41:45,50 	someone locks eyes with him and draws him forward, tears shining on his cheeks.
KARATE_KID.srt 	KARATE_KID_DVS1566 	02:07:06,00 --> 02:07:18,50 	someone stands, his face shining with sweat.
KARATE_KID.srt 	KARATE_KID_DVS1645 	02:13:42,00 --> 02:13:47,50 	his face shining with sweat.
KATY_PERRY_PART_OF_ME.srt 	KATY_PERRY_PART_OF_ME_DVS322 	01:14:33,00 --> 01:14:40,50 	fans in the audience, some with tears shining in their eyes, applaud wildly.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS636 	01:08:39,00 --> 01:08:44,50 	shining it over the side, he finds someone clinging to the whole rope.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS132 	00:49:38,00 --> 00:49:47,50 	as he slides off his coat, a lamp shines its light on him.
MORNING_GLORY.srt 	MORNING_GLORY_DVS261 	00:59:24,00 --> 00:59:29,50 	he's getting his shoes shined.
MORNING_GLORY.srt 	MORNING_GLORY_DVS282 	01:01:47,00 --> 01:01:52,50 	the moon still shines in the sky.
