21_JUMP_STREET.srt 	21_JUMP_STREET_DVS542 	01:23:47,00 --> 01:23:55,50 	as the teen strides past two valets, someone tosses the box in the air.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS59 	00:04:08,00 --> 00:04:15,50 	she chains the bike to a post, and wearing a helmet, strides towards the entrance to an apartment building.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS318 	00:56:46,00 --> 00:56:54,50 	someone strides into the office.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS396 	01:10:16,00 --> 01:10:25,50 	he storms out into the night, striding down the road, fighting back tears as he encounters a couple walking arm in arm.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS167 	00:31:28,00 --> 00:31:35,50 	someone holds up one hand, gives his car keys to the valet, then strides to his office building.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS214 	00:41:29,00 --> 00:41:33,50 	someone strides off.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS245 	00:47:29,00 --> 00:47:35,50 	he strides to the front desk where a blond woman greets him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS237 	00:33:36,00 --> 00:33:43,50 	later, she strides into a dining room where someone sits alone at a table.
BAD_TEACHER.srt 	BAD_TEACHER_DVS314 	01:24:32,00 --> 01:24:38,50 	turning, he finds someone striding over to him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS606 	01:34:57,00 --> 01:35:05,50 	someone, now wearing his own clothes, spots someone as she strides down a walkway.
BLINDDATING.srt 	BLINDDATING_DVS289 	01:12:13,00 --> 01:12:27,50 	wearing a peaceful gaze, she strides eagerly to his bedside, leans in and kisses his cheek.
BURLESQUE.srt 	BURLESQUE_DVS367 	00:50:38,00 --> 00:50:44,50 	with a smile, someone strides away.
BURLESQUE.srt 	BURLESQUE_DVS411 	00:56:42,00 --> 00:56:47,50 	someone gapes as someone strides away.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS37 	00:04:51,00 --> 00:04:58,50 	the soldiers stop pushing and turned to face the nazi officer as he strides into the tower.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS117 	00:19:50,00 --> 00:19:55,50 	a brown-haired officer strides up.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS162 	00:29:22,00 --> 00:29:28,50 	someone strides out of the room.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS258 	00:45:44,00 --> 00:45:49,50 	smirking, someone strides out of the room.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS671 	01:52:56,00 --> 01:53:03,50 	a goateed man wearing a black turtleneck trench coat and eye patch strides up to someone.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS848 	01:23:34,00 --> 01:23:40,50 	someone strides back to the stove and resumes cooking.
COLOMBIANA.srt 	COLOMBIANA_DVS130 	00:11:09,00 --> 00:11:12,50 	he strides off.
COLOMBIANA.srt 	COLOMBIANA_DVS226 	00:19:26,00 --> 00:19:32,50 	later, someone and her escort stride down a jet way.
COLOMBIANA.srt 	COLOMBIANA_DVS249 	00:20:58,00 --> 00:21:06,50 	she timidly strides between two columns of benches shooting furtive glances at the other commuter.
COLOMBIANA.srt 	COLOMBIANA_DVS273 	00:22:48,00 --> 00:22:54,50 	as he strides around a corner, she watches him through the windows.
COLOMBIANA.srt 	COLOMBIANA_DVS495 	00:43:35,00 --> 00:43:40,50 	she puts on a floppy knit hat then strides off.
COLOMBIANA.srt 	COLOMBIANA_DVS740 	01:10:13,00 --> 01:10:19,50 	now someone strides down an aisle in a used book store.
COLOMBIANA.srt 	COLOMBIANA_DVS878 	01:23:22,00 --> 01:23:27,50 	she strides up a walkway toward daylight.
COLOMBIANA.srt 	COLOMBIANA_DVS1010 	01:36:12,00 --> 01:36:19,50 	now someone steps over the thin gunman's dead body and strides off.
COLOMBIANA.srt 	COLOMBIANA_DVS1096 	01:43:36,00 --> 01:43:42,50 	she strides toward a bus parked at the side of the road.
DEAR_JOHN.srt 	DEAR_JOHN_DVS409 	01:02:31,00 --> 01:02:40,50 	she cups someone's face in her hands as she kisses him one last time, then turns away and strides out of the airport.
DEAR_JOHN.srt 	DEAR_JOHN_DVS545 	01:17:20,00 --> 01:17:28,50 	now in the hospital, someone strides up to his father's room.
DEAR_JOHN.srt 	DEAR_JOHN_DVS548 	01:17:33,00 --> 01:17:42,50 	his brow furrowed, someone spots a cot in the corridor, and strides toward it to find his father.
DEAR_JOHN.srt 	DEAR_JOHN_DVS562 	01:18:39,00 --> 01:18:46,50 	as doctors and nurses stride past, he slides the letter out of the envelope.
DEAR_JOHN.srt 	DEAR_JOHN_DVS718 	01:36:26,00 --> 01:36:32,50 	she heads into the kitchen, but someone strides past the doorway.
DEAR_JOHN.srt 	DEAR_JOHN_DVS724 	01:36:50,00 --> 01:36:57,50 	then turns from the doorway and strides off.
FLIGHT.srt 	FLIGHT_DVS166 	00:34:44,00 --> 00:34:52,50 	he strides through the corridors, carrying a bag in his hand, and another slung over his shoulder.
FLIGHT.srt 	FLIGHT_DVS218 	00:48:18,00 --> 00:48:24,50 	using a cane for support, he strides into the bathroom, and dumps the pills down the toilet.
FLIGHT.srt 	FLIGHT_DVS964 	01:54:17,00 --> 01:54:22,50 	someone strides out the room wearing sunglasses,
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS49 	00:13:17,00 --> 00:13:34,50 	she carefully swings her legs over a security gate at the top and strides onward.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS321 	01:26:05,00 --> 01:26:10,50 	as someone strides away, someone
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS331 	01:27:32,00 --> 01:27:42,50 	she hangs up and strides out of the lady's room.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS88 	00:50:40,00 --> 00:50:47,50 	someone strides out of the line.
GREEN_ZONE.srt 	GREEN_ZONE_DVS181 	00:46:38,00 --> 00:46:53,50 	he strides off.
GREEN_ZONE.srt 	GREEN_ZONE_DVS207 	00:53:46,00 --> 00:53:52,50 	he strides past someone then glances back at him.
GREEN_ZONE.srt 	GREEN_ZONE_DVS265 	01:02:15,00 --> 01:02:31,50 	the soldier strides onward, brushing past two men in bulletproof vests.
GREEN_ZONE.srt 	GREEN_ZONE_DVS279 	01:05:02,00 --> 01:05:14,50 	someone stares with an arched brow then strides out.
