ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS190 	00:25:42,00 --> 00:26:00,50 	crouching low, the vampire slips the bowl beneath the hunter.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS397 	00:57:01,00 --> 00:57:06,50 	he crouches beside someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS476 	01:07:17,00 --> 01:07:24,50 	then crouches at his toys.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS484 	01:07:57,00 --> 01:08:03,50 	stepping in front of someone, he crouches and touches his arm.
BLINDDATING.srt 	BLINDDATING_DVS291 	01:12:30,00 --> 01:12:40,50 	someone crouches down beside a conscious someone as dr.
BRUNO.srt 	BRUNO_DVS52 	00:10:13,00 --> 00:10:31,50 	turning his back on someone, he crouches, revealing a red thong.
BRUNO.srt 	BRUNO_DVS64 	00:13:35,00 --> 00:13:39,50 	he crouches on all fours.
BURLESQUE.srt 	BURLESQUE_DVS512 	01:10:47,00 --> 01:10:58,50 	the doorman crouches between them.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS152 	00:12:11,00 --> 00:12:15,50 	he rises and crouches, carving up and down the face of the wave.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS188 	00:14:37,00 --> 00:14:44,50 	he crouches down, swerves his board back to the lip, and rides it back down.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS244 	00:19:07,00 --> 00:19:13,50 	crouched in nearby brush, someone creeps closer.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS424 	00:40:02,00 --> 00:40:06,50 	they crouch down together.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS598 	00:57:46,00 --> 00:57:53,50 	someone allows the white water to surround him, then crouches low and glides out of it.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS85 	00:15:44,00 --> 00:15:51,50 	crouching below his son's eye level, someone rubs his hands together.
COLOMBIANA.srt 	COLOMBIANA_DVS166 	00:14:44,00 --> 00:14:56,50 	she leaps over a man crouching on the ground and he glances after her.
COLOMBIANA.srt 	COLOMBIANA_DVS319 	00:27:57,00 --> 00:28:01,50 	he crouches before the girl.
COLOMBIANA.srt 	COLOMBIANA_DVS420 	00:37:01,00 --> 00:37:08,50 	crouched in the hallway, someone creeps in after him and gently pushes the door shut.
COLOMBIANA.srt 	COLOMBIANA_DVS933 	01:30:02,00 --> 01:30:08,50 	he peeks out and finds someone crouched behind a rifle on a neighboring balcony.
DEAR_JOHN.srt 	DEAR_JOHN_DVS141 	00:22:46,00 --> 00:22:58,50 	later a wet-suit clad someone, crouches low on the board as she awkwardly rides a wave.
