500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS265 	00:49:19,00 --> 00:49:24,50 	she touches his bruised jaw
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS713 	01:12:16,00 --> 01:12:23,50 	outside the entrance, the helicopter touches down in a whirlwind of dust.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS931 	01:30:38,00 --> 01:30:43,50 	an agent touches his earpiece, then signals to his colleague.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS190 	00:25:42,00 --> 00:26:00,50 	as the trapped hunter looks on, the vampire opens a gleaming straight razor, turns it over and touches the blade.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS484 	01:07:57,00 --> 01:08:03,50 	stepping in front of someone, he crouches and touches his arm.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS509 	01:11:39,00 --> 01:11:55,50 	swooping low, we find confederate soldiers charging recklessly over the grass as cannon balls touch down all around them.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS511 	01:11:56,00 --> 01:12:16,50 	as a cannonball touches down with a stories high blast, confederate soldier march straight towards it.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS681 	01:37:23,00 --> 01:37:32,50 	our view draws back from the screen of a smartphone as a live news report shows the helicopter touching down.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS434 	01:09:24,00 --> 01:09:30,50 	as someone takes a drink, someone touches the wig's blonde curls.
BLINDDATING.srt 	BLINDDATING_DVS142 	00:38:55,00 --> 00:39:04,50 	someone gently touches her neck and leans his lips toward hers.
BLINDDATING.srt 	BLINDDATING_DVS318 	01:16:59,00 --> 01:17:03,50 	he touches the screen.
BLINDDATING.srt 	BLINDDATING_DVS321 	01:17:22,00 --> 01:17:27,50 	he touches the glass.
BURLESQUE.srt 	BURLESQUE_DVS297 	00:40:36,00 --> 00:40:42,50 	tilting her head back and forth, she touches her face.
BURLESQUE.srt 	BURLESQUE_DVS713 	01:48:10,00 --> 01:48:17,50 	someone smiles as she watches in her mirror, then touches up her mascara.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS56 	00:08:01,00 --> 00:08:09,50 	the nazi officer shoots the bearded man, then touches the side of his own face as he works his jaw.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS111 	00:18:36,00 --> 00:18:42,50 	the nazi officer touches the side of his own face.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS418 	01:16:03,00 --> 01:16:08,50 	shielded behind a blast screen, stark uses mechanical claws to touch a wire to the glowing pellet.
