21_JUMP_STREET.srt 	21_JUMP_STREET_DVS353 	00:58:53,00 --> 00:58:58,50 	he shoves someone into a shoe display.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS640 	01:36:15,00 --> 01:36:22,50 	someone shoves someone out.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS275 	00:23:41,00 --> 00:23:48,50 	someone's truck rear-ends a hatchback, shoving the innocent civilian forward.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS788 	01:19:20,00 --> 01:19:25,50 	he shoves the old man toward the entrance
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS324 	00:58:26,00 --> 00:58:31,50 	someone grabs someone and shoves him toward the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS387 	01:08:33,00 --> 01:08:40,50 	someone shoves someone into some shelves.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS117 	00:12:39,00 --> 00:12:44,50 	someone shoves someone out of his way.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS618 	01:27:15,00 --> 01:27:23,50 	someone lifts the laughing vampire from the box then shoves him aside and peeks in the hole himself.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS595 	01:33:38,00 --> 01:33:42,50 	one of the guys shoves him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS600 	01:34:26,00 --> 01:34:33,50 	he shoves someone inside and locks the door.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS636 	01:38:06,00 --> 01:38:12,50 	someone shoves someone to someone, and someone to someone.
BLINDDATING.srt 	BLINDDATING_DVS59 	00:18:31,00 --> 00:18:38,50 	he shoves someone's hand away.
BRUNO.srt 	BRUNO_DVS37 	00:07:21,00 --> 00:07:25,50 	the guards easily shove him back.
BURLESQUE.srt 	BURLESQUE_DVS137 	00:18:50,00 --> 00:19:02,50 	someone shoves someone offstage.
BURLESQUE.srt 	BURLESQUE_DVS629 	01:34:38,00 --> 01:34:42,50 	she shoves past him.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS553 	00:53:24,00 --> 00:53:29,50 	he shoves the money inside and closes it.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS572 	00:55:26,00 --> 00:55:33,50 	standing at the top of a wave, someone shoves another surfer forcing him off his board.
CHRONICLE.srt 	CHRONICLE_DVS385 	00:58:55,00 --> 00:59:00,50 	someone shoves someone who shoves back.
CHRONICLE.srt 	CHRONICLE_DVS385 	00:58:55,00 --> 00:59:00,50 	someone shoves someone who shoves back.
COLOMBIANA.srt 	COLOMBIANA_DVS1036 	01:37:46,00 --> 01:37:54,50 	he shoves her away but she wraps the towel around his neck and starts to choke him from behind.
DEAR_JOHN.srt 	DEAR_JOHN_DVS622 	01:24:47,00 --> 01:24:54,50 	someone uncomfortably shoves a hand into his pocket.
DEAR_JOHN.srt 	DEAR_JOHN_DVS721 	01:36:37,00 --> 01:36:46,50 	one hand shoved in his pocket.
EASY_A.srt 	EASY_A_DVS235 	01:12:47,00 --> 01:12:51,50 	she shoves him.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS90 	00:50:54,00 --> 00:51:04,50 	his back to the railing, someone shoves the balloon into the back of his jeans and digs around.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS46 	00:07:39,00 --> 00:07:45,50 	someone meets his gaze then shoves a shirt in a bag.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS202 	00:32:32,00 --> 00:32:38,50 	someone shoves him against a wall and someone holds up a knife.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS207 	00:32:57,00 --> 00:33:02,50 	someone shoves the cellphone in someone's mouth.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS214 	00:34:18,00 --> 00:34:45,50 	a thug charges and he shoves the man away, setting him on fire.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS345 	00:51:49,00 --> 00:51:55,50 	he shoves half of the remaining sheathed twinkie into his mouth, then bites down on the wrapper using his teeth to hold the cake in place.
HUGO.srt 	HUGO_DVS66 	00:08:42,00 --> 00:08:50,50 	the inspector shoves past the man, then pushes his way into a throng of travelers standing on a train platform.
HUGO.srt 	HUGO_DVS76 	00:10:04,00 --> 00:10:10,50 	he slides a latch then shoves open the heavy door.
HUGO.srt 	HUGO_DVS248 	00:35:16,00 --> 00:35:23,50 	he steps forward and lightly shoves the automaton, then flicks the tiny propeller.
HUGO.srt 	HUGO_DVS300 	00:46:33,00 --> 00:46:39,50 	someone shoves his way through a crowd of people walking in the opposite direction.
HUGO.srt 	HUGO_DVS569 	01:23:38,00 --> 01:23:47,50 	the engineer furiously turns a wheel then shoves a lever.
IN_TIME.srt 	IN_TIME_DVS99 	00:10:48,00 --> 00:10:58,50 	now, in a large abandoned space, someone shoves the stranger onto a leather bench, then crosses to a wall of dirty broken windows.
IN_TIME.srt 	IN_TIME_DVS916 	01:36:42,00 --> 01:36:55,50 	behind him, someone shoves his way past the flood of dayton residents.
INSIDE_MAN.srt 	INSIDE_MAN_DVS89 	00:23:14,00 --> 00:23:25,50 	another shoves out an identical looking figure.
INSIDE_MAN.srt 	INSIDE_MAN_DVS166 	00:47:58,00 --> 00:48:03,50 	he shoves her inside.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS268 	01:15:54,00 --> 01:15:58,50 	she shoves the cake at him.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS224 	00:42:21,00 --> 00:42:25,50 	she shoves him out of the kitchen.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS559 	01:50:07,00 --> 01:50:16,50 	she shoves her arms into the sleeves of a sweater draped over her shoulders.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS188 	01:06:30,00 --> 01:06:37,50 	someone shoves the kids back down on the bed.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS207 	01:12:54,00 --> 01:12:59,50 	someone shoves someone into the pool.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS239 	01:24:03,00 --> 01:24:09,50 	he shoves hay in its mouth and grabs her udder.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS291 	01:34:54,00 --> 01:35:02,50 	now someone steps off of an elevator and crosses a hallway, with his hand shoved in his pockets.
KARATE_KID.srt 	KARATE_KID_DVS37 	00:03:23,00 --> 00:03:32,50 	someone stands on a seat and shoves a satchel into an overhead bin.
