21_JUMP_STREET.srt 	21_JUMP_STREET_DVS150 	00:23:42,00 --> 00:23:47,50 	he kisses her, then sees the newcomers.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS24 	00:04:17,00 --> 00:04:24,50 	she cradles his dark sideburns and kisses him passionately on the lips.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS115 	00:29:46,00 --> 00:29:51,50 	she wraps her arms around his neck and kisses him.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS222 	00:53:51,00 --> 00:53:56,50 	someone kisses his car.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS347 	01:16:53,00 --> 01:16:59,50 	in the mustang, someone grabs someone and kisses him as he drives.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS47 	00:22:40,00 --> 00:22:52,50 	the party girl wraps her arms around him and kisses him hungrily.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS121 	01:04:25,00 --> 01:04:31,50 	as they kiss, she wraps her legs around him.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS143 	01:14:55,00 --> 01:14:59,50 	they kiss hungrily.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS158 	01:21:06,00 --> 01:21:11,50 	she kisses him.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS186 	01:31:10,00 --> 01:31:16,50 	she kisses him.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS197 	01:37:46,00 --> 01:37:52,50 	as they resume kissing, someone approaches the bar.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS220 	01:47:54,00 --> 01:48:01,50 	she pulls herself into his arms and they kiss eagerly.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS223 	01:50:01,00 --> 01:50:12,50 	now under luxurious bedding someone lies on top of someone as they embrace and kiss.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS230 	01:51:05,00 --> 01:51:19,50 	they kiss.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS64 	00:05:09,00 --> 00:05:13,50 	they kiss in bed.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS127 	00:25:09,00 --> 00:25:13,50 	they kiss.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS129 	00:25:17,00 --> 00:25:21,50 	kissing with increasing passion.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS171 	00:30:42,00 --> 00:30:47,50 	at night, they tumble, kissing on to the bed.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS184 	00:32:03,00 --> 00:32:08,50 	he cheerfully greets the people he meets, even kissing one woman's hand.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS266 	00:49:21,00 --> 00:49:25,50 	she kisses him gently.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS267 	00:49:37,00 --> 00:49:42,50 	she links her arms around someone's neck and they kiss.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS376 	01:08:10,00 --> 01:08:17,50 	in expectations, someone opens the door, smiles, and kisses someone on the lips.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS387 	01:09:37,00 --> 01:09:43,50 	someone and someone walk indoors together and kiss passionately.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS464 	01:18:45,00 --> 01:18:49,50 	she leans forward and kisses him
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS501 	01:21:18,00 --> 01:21:22,50 	and she kisses her new husband.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS46 	00:13:27,00 --> 00:13:39,50 	he steps up to someone, his grayed haired mother and kisses her on the forehead.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS54 	00:15:45,00 --> 00:15:50,50 	someone stands and kisses someone's forehead.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS422 	01:13:02,00 --> 01:13:07,50 	someone kisses his wife and son.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS437 	01:15:14,00 --> 01:15:23,50 	someone glances at a kissing couple then steps to a railing overlooking the ocean.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS456 	01:18:57,00 --> 01:19:02,50 	someone stands and kisses her on the forehead.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS303 	00:44:06,00 --> 00:44:13,50 	as he kisses a woman leaning out of the window, he notices a team of riders approaching.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS326 	00:46:58,00 --> 00:47:04,50 	he gently turns her face to his own and kisses her on the lips.
