21_JUMP_STREET.srt 	21_JUMP_STREET_DVS360 	00:59:52,00 --> 00:59:58,50 	someone gives her a kiss but she pulls away and hugs him.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS681 	01:42:24,00 --> 01:42:30,50 	as his two prodigal agents hug him, he shrugs them off.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS323 	01:12:40,00 --> 01:12:48,50 	someone removes the shirt from someone's face and she hugs him.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS155 	01:20:36,00 --> 01:20:43,50 	in the break room, as the two guys hug someone rubs someone's back.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS66 	00:05:15,00 --> 00:05:21,50 	they hug in the street and grin at a ringo starr record in a shop.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS380 	01:08:50,00 --> 01:08:57,50 	in expectations, she hugs him in thanks for the architecture of happiness, not in reality.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS938 	01:31:02,00 --> 01:31:08,50 	someone grins and hugs her back, while someone looks on with a fond, tender smile.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS247 	00:35:05,00 --> 00:35:10,50 	he hops over the counter and hugs him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS596 	01:22:12,00 --> 01:22:46,50 	arms burst through the wood and hug him from behind.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS368 	00:58:51,00 --> 00:58:55,50 	she hugs him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS493 	01:18:37,00 --> 01:18:41,50 	she hugs him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS554 	01:26:43,00 --> 01:26:46,50 	they hug.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS557 	01:27:34,00 --> 01:27:38,50 	they hug again.
BRUNO.srt 	BRUNO_DVS241 	01:05:53,00 --> 01:06:03,50 	later, the man hugs the woman from behind.
BURLESQUE.srt 	BURLESQUE_DVS211 	00:31:24,00 --> 00:31:28,50 	they hug.
BURLESQUE.srt 	BURLESQUE_DVS439 	01:00:38,00 --> 01:00:44,50 	the girls rush to hug her.
BURLESQUE.srt 	BURLESQUE_DVS565 	01:24:03,00 --> 01:24:08,50 	he hugs her from behind.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS138 	00:23:55,00 --> 00:24:03,50 	he hugs the grenade to his torso as he lies in a fetal position.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS649 	01:49:01,00 --> 01:49:07,50 	the men drink as people smile and hug one another around them.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS487 	00:46:44,00 --> 00:46:49,50 	she hugs someone and leaves the kitchen.
CHRONICLE.srt 	CHRONICLE_DVS233 	00:33:13,00 --> 00:33:19,50 	someone helps someone up, hugs him, and spins him around.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS87 	00:16:08,00 --> 00:16:12,50 	someone hugs him.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS229 	00:48:58,00 --> 00:49:09,50 	someone hugs him.
COLOMBIANA.srt 	COLOMBIANA_DVS88 	00:06:51,00 --> 00:06:57,50 	they hug.
COLOMBIANA.srt 	COLOMBIANA_DVS280 	00:23:29,00 --> 00:23:35,50 	he kisses her forehead three times then hugs her again.
DEAR_JOHN.srt 	DEAR_JOHN_DVS143 	00:23:07,00 --> 00:23:17,50 	now, she hugs his arm as they walk hand in hand past a cafe.
DEAR_JOHN.srt 	DEAR_JOHN_DVS213 	00:33:46,00 --> 00:33:52,50 	he drapes an arm around her shoulder and she hugs his waist as they head inside.
DEAR_JOHN.srt 	DEAR_JOHN_DVS338 	00:51:48,00 --> 00:51:52,50 	she hugs someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS401 	01:38:56,00 --> 01:39:00,50 	he hugs someone.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS441 	01:47:39,00 --> 01:47:45,50 	they stop and someone hugs them both.
DISTRICT_9.srt 	DISTRICT_9_DVS315 	00:34:43,00 --> 00:34:47,50 	someone hugs his parents.
EASY_A.srt 	EASY_A_DVS174 	00:55:47,00 --> 00:55:53,50 	as they hug again, someone sniffs her hair.
EASY_A.srt 	EASY_A_DVS175 	00:55:56,00 --> 00:56:01,50 	the next day they hug again.
EASY_A.srt 	EASY_A_DVS178 	00:56:36,00 --> 00:56:43,50 	as they hug, someone rests her hand near a spinning table saw.
FLIGHT.srt 	FLIGHT_DVS527 	01:15:54,00 --> 01:15:59,50 	he goes to her, and they hug.
FLIGHT.srt 	FLIGHT_DVS530 	01:16:51,00 --> 01:16:55,50 	they hug again.
