21_JUMP_STREET.srt 	21_JUMP_STREET_DVS126 	00:20:35,00 --> 00:20:43,50 	in the morning, someone and someone wake to find someone's father using an elliptical machine at their feet.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS278 	00:48:12,00 --> 00:48:20,50 	one of the nerds uses ms.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS334 	00:55:47,00 --> 00:55:56,50 	now at the police firing range, the two cops shoot at a cutout depicting a gunman using a woman as a human shield.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS433 	01:12:12,00 --> 01:12:27,50 	using a tennis racket, someone hits a golf ball into his head.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS650 	01:37:56,00 --> 01:38:01,50 	he uses someone as a human shield.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS44 	00:08:25,00 --> 00:08:29,50 	using his car key, he pops it.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS58 	00:32:59,00 --> 00:33:09,50 	morning, dressed for work, someone uses tongs to put a waffle on a plate with some bacon.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS202 	00:33:27,00 --> 00:33:41,50 	he sits hollow-eyed, staring towards the desk where someone used to sit.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS485 	01:20:14,00 --> 01:20:19,50 	using chalks and a long ruler,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS47 	00:03:34,00 --> 00:03:39,50 	the young man uses a payphone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS165 	00:15:06,00 --> 00:15:13,50 	using a rounded mirror on a pole, a soldier checks the underside of the first sedan,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS297 	00:25:46,00 --> 00:26:05,50 	on another street, someone zips through traffic, using both sides of the road.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS339 	00:30:53,00 --> 00:30:57,50 	on a walkway, someone uses a phone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS356 	00:31:36,00 --> 00:31:40,50 	someone uses a cellphone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS513 	00:50:04,00 --> 00:50:12,50 	someone stabs a blonde haired man in the leg, then takes his weapon and uses him as a human shield.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS719 	01:12:47,00 --> 01:12:52,50 	using a walk behind electric forklift,
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS801 	01:20:24,00 --> 01:20:28,50 	someone uses the radio.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS193 	00:26:22,00 --> 00:26:30,50 	using his hand, someone wipes it away with a horrified expression.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS196 	00:26:47,00 --> 00:26:56,50 	in the general store, someone uses a hand mirror as he applies sap to a swollen bruise on his cheek.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS282 	00:40:28,00 --> 00:40:52,50 	using the horse like a track and field hammer, he hurls it at his enemy knocking him to the ground.
