21_JUMP_STREET.srt 	21_JUMP_STREET_DVS396 	01:07:09,00 --> 01:07:16,50 	the window behind her shows someone and his black gay friend furtively carrying a piata.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS490 	01:18:39,00 --> 01:18:43,50 	each carrying a cardboard box.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS497 	01:18:56,00 --> 01:19:04,50 	someone carries a box to his cars open hatchback.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS41 	00:08:11,00 --> 00:08:19,50 	inside the uniformed delivery guys carries a pizza through an aisle of colorful vases and decorations.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS13 	00:02:52,00 --> 00:03:04,50 	he enters a store called smart tech carrying his front bicycle tire and bag.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS30 	00:13:17,00 --> 00:13:23,50 	now, carrying his bike tire, someone gets stuck in smart tech's door.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS289 	00:53:32,00 --> 00:53:36,50 	the someone character's carrying a balloon.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS479 	01:19:49,00 --> 01:19:53,50 	and carrying a portfolio.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS327 	00:28:58,00 --> 00:29:08,50 	the truck flies through an enormous concrete drainpipe, toppling the tractor-trailer carrying it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS723 	01:13:05,00 --> 01:13:14,50 	on the ground, two men carry a case of uranium, as a masked man barks orders.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS46 	00:13:27,00 --> 00:13:39,50 	carrying a vase of pink flowers, someone steps into a retirement home cafeteria, where people wear mexican themed apparel.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS354 	01:01:10,00 --> 01:01:16,50 	young someone sits at a kitchen table as his mother carries in a roasting pot.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS427 	01:13:48,00 --> 01:13:55,50 	carrying a cup of coffee, someone smiles to himself as he exits the shop.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS130 	00:15:42,00 --> 00:15:49,50 	now he carries the ax over his shoulder as someone leads him through the woods.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS345 	00:49:03,00 --> 00:49:09,50 	he carries her off leaving his ax behind.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS141 	00:21:25,00 --> 00:21:31,50 	carrying their bags, the rapper in drag waves to a girl, then sits on a bench.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS163 	00:27:18,00 --> 00:27:25,50 	now, in a busy cafeteria, someone and someone carry their meal trays.
BLINDDATING.srt 	BLINDDATING_DVS149 	00:40:12,00 --> 00:40:21,50 	now, someone walks through the park carrying a brown paper lunch bag.
BRUNO.srt 	BRUNO_DVS158 	00:43:46,00 --> 00:43:59,50 	the security team carries him away.
BRUNO.srt 	BRUNO_DVS163 	00:45:08,00 --> 00:45:12,50 	someone carries him piggyback out of the restaurant.
BURLESQUE.srt 	BURLESQUE_DVS313 	00:43:33,00 --> 00:43:41,50 	at the lounge, a bartender carries crates of glasses and the band rehearses.
BURLESQUE.srt 	BURLESQUE_DVS401 	00:55:44,00 --> 00:55:51,50 	two bartenders catch her and carry her to the chaise lounge.
BURLESQUE.srt 	BURLESQUE_DVS450 	01:01:32,00 --> 01:01:37,50 	someone carries a crate of glasses away.
BURLESQUE.srt 	BURLESQUE_DVS743 	01:52:45,00 --> 01:52:52,50 	the dancers on the bar fall back into the arms of the bartenders, who carry them to the stage.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS131 	00:22:38,00 --> 00:22:44,50 	someone climbs into the backseat of a jeep carrying agent someone.
