A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS152 	00:30:19,00 --> 00:30:26,50 	a car drives over the man's cane, snapping it in half.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS308 	00:56:16,00 --> 00:56:20,50 	she snaps it in half.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS383 	01:01:19,00 --> 01:01:23,50 	he snaps out of it.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS402 	01:05:12,00 --> 01:05:18,50 	snapping his fingers, someone bobs his head.
BURLESQUE.srt 	BURLESQUE_DVS79 	00:07:34,00 --> 00:07:40,50 	onstage, the reclined dancers snap then raise their arms in the air.
BURLESQUE.srt 	BURLESQUE_DVS137 	00:18:50,00 --> 00:19:02,50 	snapping to, she gazes longingly at the performance.
BURLESQUE.srt 	BURLESQUE_DVS442 	01:00:53,00 --> 01:01:02,50 	standing apart, someone snaps a photo, then smiles and winks at her.
BURLESQUE.srt 	BURLESQUE_DVS478 	01:06:14,00 --> 01:06:21,50 	someone and the first two dancers pose erotically in their own chairs and snap their fingers.
BURLESQUE.srt 	BURLESQUE_DVS745 	01:52:52,00 --> 01:52:58,50 	they each strike a pose, coolly snapping their fingers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS175 	00:32:14,00 --> 00:32:19,50 	a photographer snaps their picture.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS188 	00:34:54,00 --> 00:35:01,50 	he grimaces, then snaps his eyes open.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS326 	01:01:46,00 --> 01:01:52,50 	someone, the asian-american gi, snaps a guard's neck as dernier, a balding man with a dark mustache, picks up a hydra blaster rifle.
CHRONICLE.srt 	CHRONICLE_DVS153 	00:23:24,00 --> 00:23:33,50 	as someone stares at him, the guy's head suddenly snaps back.
CHRONICLE.srt 	CHRONICLE_DVS531 	01:15:19,00 --> 01:15:28,50 	as the authorities move in, someone's eyes snap open.
COLOMBIANA.srt 	COLOMBIANA_DVS735 	01:09:35,00 --> 01:09:39,50 	he snaps a photo.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS285 	01:10:41,00 --> 01:10:49,50 	open-mouthed, someone turns to someone who snaps out of his death impersonation.
DISTRICT_9.srt 	DISTRICT_9_DVS622 	01:12:40,00 --> 01:12:56,50 	someone snaps out of his trance and joins someone, who fires again at the humans.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS357 	01:34:22,00 --> 01:34:28,50 	someone snaps out of his reverie and takes a few deeps breaths.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS106 	00:17:04,00 --> 00:17:20,50 	the riders jaws abruptly snap shut.
