30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS294 	01:07:01,00 --> 01:07:09,50 	in a bathroom, facing a mirror, someone finds a bottle of rubbing alcohol and twists it open.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS295 	01:07:14,00 --> 01:07:21,50 	he pours the rubbing alcohol on his neck wound, then grimaces and shakes his head.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS127 	01:06:01,00 --> 01:06:09,50 	he rubs a wet condom, then licks his finger.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS155 	01:20:36,00 --> 01:20:43,50 	in the break room, as the two guys hug someone rubs someone's back.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS92 	00:13:21,00 --> 00:13:26,50 	he rubs out what he's done so far on the new picture.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS706 	01:12:02,00 --> 01:12:08,50 	she beams as someone rubs her cheek and steps past.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS493 	01:08:39,00 --> 01:08:46,50 	the president lifts his head staring off as he rubs his thumbs together.
BAD_TEACHER.srt 	BAD_TEACHER_DVS221 	01:01:11,00 --> 01:01:29,50 	someone takes a leafy sprig from a plastic baggie and rubs the plant over the surface of a large red apple.
BAD_TEACHER.srt 	BAD_TEACHER_DVS244 	01:06:55,00 --> 01:07:13,50 	inside on the bed two pairs of bare feet rub together.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS487 	01:15:55,00 --> 01:16:00,50 	someone rubs his hands together, then sets up a microphone.
BLINDDATING.srt 	BLINDDATING_DVS306 	01:15:14,00 --> 01:15:27,50 	his mom rubs his back and cradles the nape of his neck.
BRUNO.srt 	BRUNO_DVS133 	00:31:33,00 --> 00:31:38,50 	he rubs the palms of their hands together.
BRUNO.srt 	BRUNO_DVS134 	00:31:39,00 --> 00:31:45,50 	he rubs their hands on the back of his head, and on his shoulders.
BURLESQUE.srt 	BURLESQUE_DVS145 	00:19:54,00 --> 00:20:00,50 	as she serves a drink, the bartender eyes her and rubs his unshaven cheek.
BURLESQUE.srt 	BURLESQUE_DVS236 	00:34:10,00 --> 00:34:17,50 	now someone rubs her hands over her head and body, then points her knees in.
BURLESQUE.srt 	BURLESQUE_DVS432 	00:59:48,00 --> 00:59:54,50 	at a table, someone thoughtfully rubs his chin as he watches her.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS361 	01:05:49,00 --> 01:05:55,50 	rubbing his jaw, someone straightens.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS379 	00:35:35,00 --> 00:35:40,50 	steps in close, and rubs his back.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS493 	00:47:53,00 --> 00:47:59,50 	rubbing his arms, she lovingly gazes into his eyes.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS561 	00:54:27,00 --> 00:54:32,50 	she rubs her wrist anxiously as someone stares off.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS625 	01:00:24,00 --> 01:00:29,50 	as they leave, blond rubs his throat.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS38 	00:08:23,00 --> 00:08:37,50 	he checks his fake tooth in a mirror rubbing it with a forefinger.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS85 	00:15:44,00 --> 00:15:51,50 	crouching below his son's eye level, someone rubs his hands together.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS93 	00:17:37,00 --> 00:17:42,50 	he rubs someone's untaped right hand.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS171 	00:36:34,00 --> 00:36:46,50 	someone paces nearby, rubbing her hands together.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS205 	00:42:37,00 --> 00:42:57,50 	seated at a desk, someone gazes off and rubs his lips.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS544 	02:08:06,00 --> 02:08:17,50 	in a grainy blurred focused view from someone's corner, someone rubs his head and shakes his arms down.
COLOMBIANA.srt 	COLOMBIANA_DVS199 	00:17:10,00 --> 00:17:17,50 	she rubs her eyes then glances around and climbs out of the hole.
COLOMBIANA.srt 	COLOMBIANA_DVS644 	01:00:29,00 --> 01:00:35,50 	with his brow creased worriedly, he tries to rub it off
DEAR_JOHN.srt 	DEAR_JOHN_DVS110 	00:16:11,00 --> 00:16:17,50 	he rubs it vigorously on his shirt.
DEAR_JOHN.srt 	DEAR_JOHN_DVS311 	00:48:12,00 --> 00:48:25,50 	he rubs her hand with his chin, then she strokes the back of his head, fondle his ear, and caresses his cheek.
DEAR_JOHN.srt 	DEAR_JOHN_DVS684 	01:32:12,00 --> 01:32:19,50 	as someone studies her inscrutably out of the corner of his eye, she rubs her lips together.
DEAR_JOHN.srt 	DEAR_JOHN_DVS749 	01:38:19,00 --> 01:38:25,50 	he rubs his brow, then pounds his hand on the steering wheel.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS309 	01:17:03,00 --> 01:17:10,50 	someone takes his hand out of his pocket and rubs his thumb and forefinger together.
DISTRICT_9.srt 	DISTRICT_9_DVS276 	00:30:32,00 --> 00:30:42,50 	now in the mnu transport, a piqued someone rubs his brow, seated opposite someone and someone.
DISTRICT_9.srt 	DISTRICT_9_DVS505 	00:59:19,00 --> 00:59:27,50 	he rubs his stubble chin with his thumb.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS93 	00:24:07,00 --> 00:24:24,50 	someone rubs her nose.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS282 	01:13:42,00 --> 01:13:46,50 	someone rubs someone's back.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS97 	00:55:30,00 --> 00:55:35,50 	someone nervously rubs his face.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS70 	00:11:27,00 --> 00:11:33,50 	someone meets her gaze and she rubs the back of his head.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS340 	00:51:28,00 --> 00:51:35,50 	he rubs his gloved fingers against each other cleaning the dust from them.
GROWN_UPS.srt 	GROWN_UPS_DVS291 	01:31:56,00 --> 01:32:04,50 	his hand rubs someone's breast!
HUGO.srt 	HUGO_DVS108 	00:14:27,00 --> 00:14:36,50 	someone rubs his hands together as the man trudges up stone steps then turns down a street lined with tall tenements.
HUGO.srt 	HUGO_DVS250 	00:35:24,00 --> 00:35:32,50 	someone walks to the back of the automaton and rubs one finger over the heart shaped keyhole.
INSIDE_MAN.srt 	INSIDE_MAN_DVS217 	01:01:50,00 --> 01:01:59,50 	someone loosens up, rubbing his shaved head.
INSIDE_MAN.srt 	INSIDE_MAN_DVS245 	01:15:28,00 --> 01:15:36,50 	his father rubs the boy's back.
INSIDE_MAN.srt 	INSIDE_MAN_DVS288 	01:28:41,00 --> 01:28:47,50 	he rubs his palm over his bald head and trudges back toward the others.
INSIDE_MAN.srt 	INSIDE_MAN_DVS363 	01:45:05,00 --> 01:45:14,50 	someone walks down a marble corridor, rubbing his hands and grinning.
IRON_MAN_2.srt 	IRON_MAN_2_DVS399 	01:14:51,00 --> 01:15:05,50 	he tosses the notebook aside, leans forward, and rubs his eyes.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS51 	00:14:44,00 --> 00:14:48,50 	one girl friend rubs her back.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS325 	01:32:51,00 --> 01:32:55,50 	stifles tears and rubs her chest.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS401 	01:52:36,00 --> 01:52:43,50 	she reaches across the space between them and rubs his shoulder.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS175 	00:32:40,00 --> 00:32:53,50 	someone appears in the doorway, recoils and rubs his eyes.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS511 	01:40:18,00 --> 01:40:29,50 	he playfully smushes a piece into her mouth, then rubs it over his own face.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS229 	01:19:26,00 --> 01:19:31,50 	they rub their noses together.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS316 	01:41:43,00 --> 01:41:48,50 	someone pensively rubs his chin.
KARATE_KID.srt 	KARATE_KID_DVS416 	00:38:03,00 --> 00:38:08,50 	someone grins and someone rubs more of the caps.
KARATE_KID.srt 	KARATE_KID_DVS518 	00:47:09,00 --> 00:47:16,50 	he rubs his hands together, then moves them over someone's chest.
