21_JUMP_STREET.srt 	21_JUMP_STREET_DVS21 	00:02:57,00 --> 00:03:02,50 	sitting on a nearby bench, the nerd looks over.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS89 	00:11:45,00 --> 00:11:51,50 	where youthful looking cops in street clothes lounge in the pews.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS148 	00:23:28,00 --> 00:23:37,50 	looking head someone stares.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS161 	00:27:44,00 --> 00:27:48,50 	looking for hook-up.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS194 	00:33:47,00 --> 00:33:53,50 	an elderly janitor shuffling past pauses and looks on.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS290 	00:50:05,00 --> 00:50:11,50 	downstairs three tough looking teens enter and strut toward someone and someone.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS498 	01:19:01,00 --> 01:19:08,50 	his mother looks out the window then shuts the laptop and gives her son a stern look.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS674 	01:41:51,00 --> 01:41:56,50 	looking on, someone chuckles approvingly.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS711 	01:44:41,00 --> 01:44:48,50 	korean jesus looks at us.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS53 	00:11:58,00 --> 00:12:03,50 	someone looks at her supple breasts.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS145 	00:38:33,00 --> 00:38:37,50 	someone looks up from a cabinet.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS220 	00:52:47,00 --> 00:52:53,50 	walking a residential street, someone looks at the cash in the bag.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS252 	01:00:04,00 --> 01:00:10,50 	he looks at someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS265 	01:03:02,00 --> 01:03:08,50 	someone lowers the cellphone from his ear and looks at it.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS105 	00:54:50,00 --> 00:54:58,50 	entering the suite, he looks around and steps into an empty sitting area.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS118 	01:02:41,00 --> 01:02:45,50 	she looks around him.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS169 	01:23:24,00 --> 01:23:30,50 	he holds the doll's head up and looks through its bionic eye.
