A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS280 	00:24:04,00 --> 00:24:14,50 	someone pulls the emergency brake and as he spins, the rocket soars over his flatbed and strikes a garbage truck.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS836 	01:22:58,00 --> 01:23:06,50 	as someone returns fire, a bullet strikes his vest, knocking him down.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS854 	01:24:07,00 --> 01:24:14,50 	as bullets strike the roof, the searchlights wash over someone.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS874 	01:25:19,00 --> 01:25:25,50 	a plunging case nearly strikes someone.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS188 	00:25:36,00 --> 00:25:42,50 	arriving, stibble kicks it away and strikes him.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS213 	00:29:45,00 --> 00:29:54,50 	the banker reappears just long enough to strike someone's midsection.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS253 	00:36:15,00 --> 00:36:26,50 	someone ducks a swipe from the first man then someone strikes again.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS322 	00:46:21,00 --> 00:46:37,50 	he goes to strike, but his arm stops mid-stab.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS336 	00:47:54,00 --> 00:47:59,50 	pulling his ax from his jacket, he turns to strike.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS389 	00:54:31,00 --> 00:54:40,50 	someone throws his hat at one then strikes him down.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	in the same swing, he strikes another vampire's midsection.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS608 	01:24:36,00 --> 01:25:32,50 	someone takes out two vampires then twirls the ax behind his back to someone who spins the versatile weapon and strikes another vampire with its butt.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS236 	00:38:41,00 --> 00:38:48,50 	the rotund man strikes a series of poses before resuming his work on the panel.
BURLESQUE.srt 	BURLESQUE_DVS75 	00:06:46,00 --> 00:06:55,50 	onstage, cool-blue light bathes dancers in skimpy sailor-themed outfits as they strike provocative poses.
BURLESQUE.srt 	BURLESQUE_DVS90 	00:09:52,00 --> 00:10:01,50 	the dancers strike alluring seductive poses and line up downstage.
BURLESQUE.srt 	BURLESQUE_DVS356 	00:49:19,00 --> 00:49:26,50 	someone strikes a pose with her arms in the air and the stage lights blink off.
BURLESQUE.srt 	BURLESQUE_DVS395 	00:55:12,00 --> 00:55:25,50 	she struts to the wall of mirrored panels behind the bar and strikes a pose.
BURLESQUE.srt 	BURLESQUE_DVS524 	01:12:17,00 --> 01:12:26,50 	one contortionist spreads her legs overhead and the doorman strikes a triangle between her thighs.
BURLESQUE.srt 	BURLESQUE_DVS745 	01:52:52,00 --> 01:52:58,50 	they each strike a pose, coolly snapping their fingers.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS443 	01:19:56,00 --> 01:20:04,50 	the shield strikes a hidden hydra soldier.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS515 	01:32:46,00 --> 01:33:01,50 	a cannon blaster fires bolts of energy which strike the ground and trees around him.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS572 	01:39:13,00 --> 01:39:18,50 	propeller blades strike someone' shield.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS618 	01:44:15,00 --> 01:44:28,50 	someone flings his shield, striking someone and smashing him into the energy mechanism which begins to spark and flicker with blue light.
COLOMBIANA.srt 	COLOMBIANA_DVS1026 	01:37:14,00 --> 01:37:21,50 	he grabs its barrel and strikes her in the head, snatching it away as she stumbles.
COLOMBIANA.srt 	COLOMBIANA_DVS1034 	01:37:43,00 --> 01:37:47,50 	holding him against a wall, she strikes him over and over.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS81 	00:12:51,00 --> 00:13:12,50 	in his perch, someone puts a cigarette in his lips and strikes a match.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS239 	00:38:06,00 --> 00:38:30,50 	he whirls the chain above his head, then strikes another.
HUGO.srt 	HUGO_DVS73 	00:09:33,00 --> 00:09:51,50 	he slides into a suitcase, which strikes him in the crotch.
HUGO.srt 	HUGO_DVS355 	00:53:57,00 --> 00:54:04,50 	on the page, a sketch of a rocket ship striking one eye of the man in the moon.
HUGO.srt 	HUGO_DVS372 	00:56:39,00 --> 00:56:46,50 	she opens it and gazes down at the drawing of the rocket striking the eye of the man in the moon.
INSIDE_MAN.srt 	INSIDE_MAN_DVS66 	00:17:58,00 --> 00:18:13,50 	a ripple of glass window shows someone striking a pensive pose.
INSIDE_MAN.srt 	INSIDE_MAN_DVS429 	02:01:42,00 --> 02:01:49,50 	he points her fingers like guns, puts on his hat, and strike a pose.
IRON_MAN_2.srt 	IRON_MAN_2_DVS50 	00:06:52,00 --> 00:07:03,50 	the women dancing onstage pause to strike various poses, then rush over and form a semicircle around someone, who faces them as they each punch out one hand.
IRON_MAN_2.srt 	IRON_MAN_2_DVS180 	00:33:44,00 --> 00:34:06,50 	someone strikes the ground with his whips, as someone rolls out of the way, then spreads his legs as a whip lashes the asphalt inches from his groin.
IRON_MAN_2.srt 	IRON_MAN_2_DVS180 	00:33:44,00 --> 00:34:06,50 	someone whirls a whip which strikes the ground behind someone, who leaps onto an overturned race car, then falls onto the road.
IRON_MAN_2.srt 	IRON_MAN_2_DVS182 	00:34:06,00 --> 00:34:19,50 	someone leaps out of the way as someone's whips strike gasoline pooling around the car.
IRON_MAN_2.srt 	IRON_MAN_2_DVS193 	00:35:35,00 --> 00:36:10,50 	with his whip, someone slaps iron man's hand downward, then strikes iron man's suit.
IRON_MAN_2.srt 	IRON_MAN_2_DVS561 	01:39:13,00 --> 01:39:21,50 	one of the bullets strikes an air force drone, which crashes and bounces across the ground in flames.
IRON_MAN_2.srt 	IRON_MAN_2_DVS652 	01:49:28,00 --> 01:49:43,50 	the missile strikes someone's chest plate and bounces off.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS263 	00:50:26,00 --> 00:50:33,50 	now in queens, a hardback of someone child's biography strikes the alarm clock.
KARATE_KID.srt 	KARATE_KID_DVS1037 	01:24:10,00 --> 01:24:16,50 	a dotted line connects his eyes to the eyes of the slender woman striking a kung fu pose.
KARATE_KID.srt 	KARATE_KID_DVS1267 	01:42:37,00 --> 01:42:45,50 	someone thrusts his fists and strikes a pose, later, he shoves his hands out, palms forward.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS461 	00:52:13,00 --> 00:52:19,50 	as someone lunges, she strikes him down.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS480 	00:53:53,00 --> 00:53:57,50 	he strikes it angrily.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS890 	01:29:51,00 --> 01:30:01,50 	in the distance, a brilliant lightning bolt strikes down followed by flashes of lightning throughout thin pockets in the clouds.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS76 	00:19:34,00 --> 00:20:19,50 	he strikes again, and the minotaur backhands him into a tree.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS146 	00:34:03,00 --> 00:34:10,50 	someone ducks and strikes his armor.
PERCY_JACKSON_LIGHTENING_THIEF.srt 	PERCY_JACKSON_LIGHTENING_THIEF_DVS158 	00:35:37,00 --> 00:35:44,50 	he defeats two more opponents then spins around and strikes an attacking soldier in the chest.
PROMETHEUS.srt 	PROMETHEUS_DVS895 	01:39:07,00 --> 01:39:12,50 	the aide strikes someone in the gut with his gun.
PROMETHEUS.srt 	PROMETHEUS_DVS899 	01:39:38,00 --> 01:39:46,50 	he rips someone's head off and strikes someone with it.
PROMETHEUS.srt 	PROMETHEUS_DVS901 	01:39:51,00 --> 01:39:59,50 	he strikes the aide, flings him into a wall across the chamber, then spots someone running away, but lets her go.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS661 	02:04:31,00 --> 02:04:50,50 	he faces the street, strikes the match, and lights his cigar.
SANCTUM.srt 	SANCTUM_DVS298 	00:59:45,00 --> 00:59:58,50 	rocky partition and peers down a fairly spacious passageway, his helmet light striking the rain-like mist.
SANCTUM.srt 	SANCTUM_DVS470 	01:27:16,00 --> 01:27:31,50 	squatting, someone fills a container with oil from the tank, then looks over at someone who strikes a flint under the shelter of a wheel well.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS92 	00:18:43,00 --> 00:18:48,50 	lightning flashes, striking a metal tower on
