21_JUMP_STREET.srt 	21_JUMP_STREET_DVS38 	00:04:22,00 --> 00:04:30,50 	now by someone's bed, someone shoots him with a toy gun.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS40 	00:04:33,00 --> 00:04:39,50 	in a training course cutout targets swing out at them and they shoot.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS334 	00:55:47,00 --> 00:55:56,50 	now at the police firing range, the two cops shoot at a cutout depicting a gunman using a woman as a human shield.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS446 	01:13:49,00 --> 01:13:55,50 	firing wildly he shoots holes through the tanker.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS512 	01:21:13,00 --> 01:21:21,50 	with expert precision they shoot up old bottles and cans on the tailgate of a rundown pickup.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS598 	01:33:00,00 --> 01:33:09,50 	piata confetti flurries around him as he dives sideways, shooting a mohawked biker in the chest.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS608 	01:33:33,00 --> 01:33:39,50 	he shoots the biker multiple times in the chest.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS634 	01:35:35,00 --> 01:35:42,50 	in the white limo, someone shoots the champagne bottle in her grip.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS104 	00:26:19,00 --> 00:26:23,50 	he shoots the ground around someone's feet.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS246 	00:58:26,00 --> 00:58:32,50 	as they drive away she shoots at them with someone's gun.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS288 	01:06:26,00 --> 01:06:31,50 	he shoots someone in the neck with his pen.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS292 	01:06:46,00 --> 01:06:51,50 	someone shoots him in the stomach.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS330 	01:14:52,00 --> 01:14:56,50 	someone shoots a plume of fire.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS335 	01:15:13,00 --> 01:15:18,50 	he shoots a bullet into the flamethrower tank.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS71 	00:04:54,00 --> 00:05:01,50 	the young man shoots him in the chest.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS197 	00:17:19,00 --> 00:17:24,50 	they shoot the soldier without hesitation.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS335 	00:29:52,00 --> 00:29:58,50 	as the door opens, someone shoots the officers inside.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS488 	00:47:35,00 --> 00:47:42,50 	someone shoots his father a wry look and someone sighs patiently.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS641 	01:06:24,00 --> 01:06:32,50 	someone shoots him a look.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS858 	01:24:25,00 --> 01:24:32,50 	opening his eyes, someone sees the chopper shooting upward and losing control.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS102 	00:26:41,00 --> 00:26:46,50 	as someone laughs, leaves shoot out of his mouth.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS136 	00:29:04,00 --> 00:29:08,50 	someone mimes shooting himself three times.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS234 	00:44:53,00 --> 00:44:58,50 	he shoots a paper wad through a hoop.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS289 	00:42:08,00 --> 00:42:27,50 	someone grabs the shaft, extends it to reveal a hidden trigger, then shoots someone through his good eye.
