A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS365 	00:33:42,00 --> 00:33:47,50 	someone offers a phone, but holds it back.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS340 	00:48:43,00 --> 00:48:50,50 	as someone offers her hand, someone rises to his feet and puts the ring on her finger.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS416 	00:59:28,00 --> 00:59:33,50 	someone offers a hand to help him up.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS485 	01:08:01,00 --> 01:08:08,50 	someone offers a sympathetic gaze, then straightens and stands over him.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS419 	01:06:49,00 --> 01:06:53,50 	he offers the flower.
BLINDDATING.srt 	BLINDDATING_DVS89 	00:26:06,00 --> 00:26:12,50 	a goateed waiter offered.
BLINDDATING.srt 	BLINDDATING_DVS152 	00:40:34,00 --> 00:40:40,50 	he stands and offers her the small bouquet.
BRUNO.srt 	BRUNO_DVS212 	00:58:43,00 --> 00:58:49,50 	offers his limp hand to one of three hunters, and the man shakes it.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS393 	01:11:47,00 --> 01:11:55,50 	someone offers a slight smile.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS829 	01:22:12,00 --> 01:22:16,50 	someone offers him water.
COLOMBIANA.srt 	COLOMBIANA_DVS205 	00:17:41,00 --> 00:17:46,50 	she offers the card.
COLOMBIANA.srt 	COLOMBIANA_DVS703 	01:06:13,00 --> 01:06:17,50 	she offers a glass.
DEAR_JOHN.srt 	DEAR_JOHN_DVS96 	00:14:19,00 --> 00:14:24,50 	someone stares at someone blankly, and offers a fleeting grin.
DEAR_JOHN.srt 	DEAR_JOHN_DVS340 	00:52:22,00 --> 00:52:27,50 	someone offers his hand.
DEAR_JOHN.srt 	DEAR_JOHN_DVS341 	00:52:44,00 --> 00:52:49,50 	someone returns and offers someone a drink.
DEAR_JOHN.srt 	DEAR_JOHN_DVS564 	01:19:41,00 --> 01:19:47,50 	his ailing father offers a series of slow nods.
DEAR_JOHN.srt 	DEAR_JOHN_DVS632 	01:26:26,00 --> 01:26:30,50 	someone offers a faint nod.
DEAR_JOHN.srt 	DEAR_JOHN_DVS637 	01:27:00,00 --> 01:27:05,50 	someone offers a candid grin.
DEAR_JOHN.srt 	DEAR_JOHN_DVS736 	01:37:36,00 --> 01:37:44,50 	as someone turns, she lifts her brow expectantly and offers a faint smile.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS230 	00:57:18,00 --> 00:57:24,50 	and finds the engagement ring that someone offered to someone.
EASY_A.srt 	EASY_A_DVS14 	00:04:02,00 --> 00:04:07,50 	he offers a bong.
EASY_A.srt 	EASY_A_DVS164 	00:52:53,00 --> 00:52:58,50 	she offers a handful of condoms.
FLIGHT.srt 	FLIGHT_DVS192 	00:45:03,00 --> 00:45:08,50 	she wipes a tear from her eye, offers a smile, then stands, and climbs up the stairs.
FLIGHT.srt 	FLIGHT_DVS378 	01:00:57,00 --> 01:01:02,50 	he offers someone a beer, and she refuses.
FLIGHT.srt 	FLIGHT_DVS948 	01:53:10,00 --> 01:53:15,50 	and offers a hit to someone and someone.
GET_HIM_TO_THE_GREEK.srt 	GET_HIM_TO_THE_GREEK_DVS176 	01:37:21,00 --> 01:37:31,50 	as someone offers his mic to some fans, someone watches peacefully.
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS164 	00:25:33,00 --> 00:25:40,50 	he offers a kind nod.
GREEN_ZONE.srt 	GREEN_ZONE_DVS82 	00:22:08,00 --> 00:22:22,50 	another older man offers him the same greeting.
GREEN_ZONE.srt 	GREEN_ZONE_DVS199 	00:52:21,00 --> 00:52:27,50 	he shifts his gaze to someone and offers a firm nod.
HUGO.srt 	HUGO_DVS170 	00:23:58,00 --> 00:24:03,50 	as he offers the woman a paper, her dog bites him.
INSIDE_MAN.srt 	INSIDE_MAN_DVS74 	00:19:04,00 --> 00:19:11,50 	someone steps over to the eight-year-old boy who offers his handheld video game.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS80 	00:24:02,00 --> 00:24:11,50 	someone glances at her ex-husband who cocks his head and offers a tender smile.
JULIE_AND_JULIA.srt 	JULIE_AND_JULIA_DVS303 	01:00:16,00 --> 01:00:21,50 	someone offers a merry shrug.
KARATE_KID.srt 	KARATE_KID_DVS169 	00:14:12,00 --> 00:14:16,50 	a man offers his paddle.
KARATE_KID.srt 	KARATE_KID_DVS171 	00:14:26,00 --> 00:14:40,50 	the boy offers a cocky shrug.
KARATE_KID.srt 	KARATE_KID_DVS203 	00:17:34,00 --> 00:17:39,50 	someone offers the music to the girl.
KARATE_KID.srt 	KARATE_KID_DVS874 	01:11:58,00 --> 01:12:04,50 	someone offers a befuddled blink, then mimes putting the jacket on.
KARATE_KID.srt 	KARATE_KID_DVS1294 	01:44:41,00 --> 01:44:48,50 	now at a bank of lockers at school, the boy spots someone and offers a faint smile.
KARATE_KID.srt 	KARATE_KID_DVS1639 	02:13:08,00 --> 02:13:16,50 	gives a crooked smile, and offers it to him.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS278 	01:06:34,00 --> 01:06:39,50 	someone offers a tender smile.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS137 	00:16:32,00 --> 00:16:38,50 	the priest approaches the boy and offers a glass of water.
LITTLE_FOCKERS.srt 	LITTLE_FOCKERS_DVS227 	01:20:39,00 --> 01:20:47,50 	as he hobbles off, a boy offers him his cotton candy.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS101 	00:14:47,00 --> 00:14:55,50 	he offers his hand for a shake, but the wealthy old woman holds hers out for a kiss.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS153 	00:22:23,00 --> 00:22:28,50 	someone offers a someone.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS467 	00:55:40,00 --> 00:55:44,50 	he offers his arm and she takes it.
MR_POPPERS_PENGUINS.srt 	MR_POPPERS_PENGUINS_DVS605 	01:12:02,00 --> 01:12:06,50 	she offers him her phone.
PARENTAL_GUIDANCE.srt 	PARENTAL_GUIDANCE_DVS138 	00:36:16,00 --> 00:36:22,50 	someone offers some cash.
PROMETHEUS.srt 	PROMETHEUS_DVS174 	00:12:06,00 --> 00:12:14,50 	holographic screens blink on above the front stations, each offering individualized data.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS690 	02:09:28,00 --> 02:09:43,50 	he turns the case, offering the grieving woman a cigarette.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS71 	00:19:51,00 --> 00:19:57,50 	he offers the bloody oyster to someone who takes it.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS161 	00:39:45,00 --> 00:39:55,50 	someone offers the ring, then retracts it.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS282 	01:07:07,00 --> 01:07:41,50 	back lit by the candle, the sheer fabric offers a thinly veiled view of someone stepping out of her dress.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS341 	01:23:21,00 --> 01:23:42,50 	he takes out a letter and offers it to the sheriff.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS389 	01:36:09,00 --> 01:36:17,50 	king someone draws his sword halfway from its sheath and offers its hilt to the baron.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS346 	00:56:11,00 --> 00:56:15,50 	someone offers the joint.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS531 	01:22:18,00 --> 01:22:27,50 	standing, someone offers her the page.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS383 	00:25:27,00 --> 00:25:32,50 	a mountain of fruit rests on top, and a second veil of dangling beads offers a semi-obscured view of her nervous face.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1010 	01:06:03,00 --> 01:06:08,50 	the handsome man offers someone a brief sad smile.
SNOW_FLOWER_FD.srt 	SNOW_FLOWER_FD_DVS1446 	01:38:04,00 --> 01:38:09,50 	someone offers someone a smile instead.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS22 	00:04:56,00 --> 00:05:05,50 	the blond girl offers a smile.
SORCERERS_APPRENTICE.srt 	SORCERERS_APPRENTICE_DVS400 	01:24:02,00 --> 01:24:07,50 	he offers up the someone.
SPARKLE_2012.srt 	SPARKLE_2012_DVS267 	00:41:36,00 --> 00:41:41,50 	he offers her a ring box.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS53 	00:12:51,00 --> 00:12:58,50 	and she offers a demure smile.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS261 	00:49:51,00 --> 00:50:20,50 	the two teens walk right past each other offering no sign of acknowledgment.
THE_ART_OF_GETTING_BY.srt 	THE_ART_OF_GETTING_BY_DVS265 	00:51:22,00 --> 00:51:34,50 	he offers a restrained smile.
