21_JUMP_STREET.srt 	21_JUMP_STREET_DVS340 	00:56:31,00 --> 00:56:41,50 	as someone stands by glumly, the captain hands someone a role of cash then sips his coffee peevishly.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS22 	00:03:57,00 --> 00:04:06,50 	he notices a scruffy indian-american guy alone in the passenger seat of a silver car, then lowers his gaze and sips his beer.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS72 	00:18:39,00 --> 00:18:44,50 	he sips a takeout soda.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS95 	00:48:58,00 --> 00:49:04,50 	someone sips a drink.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS238 	00:44:56,00 --> 00:45:01,50 	she calmly sips her cocktail.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS239 	00:45:02,00 --> 00:45:08,50 	the big guy challenges someone who eyes him with calm distaste and sips his drink.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS382 	01:09:21,00 --> 01:09:27,50 	later in reality, someone sips a beer alone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS21 	00:03:12,00 --> 00:03:17,50 	he sips the coffee in a psychiatry session.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS37 	00:09:39,00 --> 00:09:44,50 	someone sits up and sips a drink.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS252 	00:48:11,00 --> 00:48:15,50 	the man sips a martini glass.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS69 	00:07:29,00 --> 00:07:34,50 	gazing thoughtfully, someone sips his drink.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS508 	01:11:33,00 --> 01:11:41,50 	sipping his drink, someone spits it out.
BAD_TEACHER.srt 	BAD_TEACHER_DVS38 	00:13:01,00 --> 00:13:08,50 	as he goes someone sips a cup of coffee.
BLINDDATING.srt 	BLINDDATING_DVS101 	00:28:06,00 --> 00:28:17,50 	seated across from someone, the woman sips her beer.
BLINDDATING.srt 	BLINDDATING_DVS195 	00:49:23,00 --> 00:49:41,50 	as someone sips wine, his date slips her foot out of her shoe and slides her toes up his leg.
BURLESQUE.srt 	BURLESQUE_DVS182 	00:26:38,00 --> 00:26:44,50 	he takes back his phone and they sip their drinks.
BURLESQUE.srt 	BURLESQUE_DVS465 	01:04:12,00 --> 01:04:17,50 	someone gives her a smirk and sips his wine.
BURLESQUE.srt 	BURLESQUE_DVS466 	01:04:34,00 --> 01:04:40,50 	turning away, someone sips her wine with a cynical smirk.
BURLESQUE.srt 	BURLESQUE_DVS562 	01:23:13,00 --> 01:23:19,50 	as someone sips his drink, the deejay grins at him.
BURLESQUE.srt 	BURLESQUE_DVS567 	01:24:13,00 --> 01:24:21,50 	now leaning on the bar, someone sips the last of a cocktail.
BURLESQUE.srt 	BURLESQUE_DVS698 	01:46:53,00 --> 01:47:00,50 	with a serene look, she turns away and sips from a glass of dessert wine.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS139 	00:11:24,00 --> 00:11:29,50 	a man sips from a paper bag.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS374 	00:35:05,00 --> 00:35:10,50 	now, sipping tea in her kitchen,
CHRONICLE.srt 	CHRONICLE_DVS280 	00:43:05,00 --> 00:43:18,50 	as the shy teen fans the cards, the more popular boy sips an energy drink.
COLOMBIANA.srt 	COLOMBIANA_DVS66 	00:04:26,00 --> 00:04:31,50 	someone sips his drink as he watches his friend leave.
COLOMBIANA.srt 	COLOMBIANA_DVS695 	01:05:36,00 --> 01:05:43,50 	agent someone hits a command on his computer then sips from a travel mug.
DEAR_JOHN.srt 	DEAR_JOHN_DVS350 	00:54:20,00 --> 00:54:24,50 	someone sips his bourbon.
FLIGHT.srt 	FLIGHT_DVS626 	01:28:00,00 --> 01:28:04,50 	he sips his beer.
FLIGHT.srt 	FLIGHT_DVS1053 	01:58:34,00 --> 01:58:38,50 	someone sips some water.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS39 	00:10:51,00 --> 00:10:57,50 	later they sip drinks at an intimate table.
