21_JUMP_STREET.srt 	21_JUMP_STREET_DVS137 	00:22:26,00 --> 00:22:31,50 	his partner rushes out to him.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS191 	00:33:14,00 --> 00:33:19,50 	now they rush into a toilet stall.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS296 	00:51:11,00 --> 00:51:15,50 	someone rushes downstairs.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS403 	01:08:26,00 --> 01:08:30,50 	they rush to the student driver's car.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS190 	00:16:53,00 --> 00:16:59,50 	someone helps someone to his feet, as the men rush inside the building.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS292 	00:25:11,00 --> 00:25:16,50 	someone rushes in to the man's suv.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS673 	01:09:09,00 --> 01:09:16,50 	outside, the vehicle parks the tank and someone's men rush towards it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS799 	01:20:13,00 --> 01:20:21,50 	fleeing, someone rushes up a stairwell.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS821 	01:21:49,00 --> 01:22:09,50 	shielding his face, he rushes toward the loading ramp as the rotor intensifies.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS497 	01:10:06,00 --> 01:10:12,50 	overwhelmed with sobs, someone rushes from the room.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS217 	00:36:27,00 --> 00:36:33,50 	now, he enters his room, throws down his purse, and rushes into a bathroom.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS358 	00:58:00,00 --> 00:58:04,50 	he rushes out.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS442 	01:10:34,00 --> 01:10:39,50 	someone's friends rush over to him and someone.
