21_JUMP_STREET.srt 	21_JUMP_STREET_DVS414 	01:10:03,00 --> 01:10:09,50 	someone steps on the brake and the car stops short again.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS425 	01:11:21,00 --> 01:11:30,50 	heading up a clogged freeway onramp they jam the breaks, stopping an inch shy of a station wagon full of kids.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS82 	00:21:08,00 --> 00:21:17,50 	the mustang rounds a darkened corner and stops halfway through the gate of a chain link fence with an address number on a sign.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS160 	00:42:01,00 --> 00:42:09,50 	as he reaches the other side, someone arrives at the start of the bridge and stops to catch his breath.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS210 	00:18:03,00 --> 00:18:10,50 	she slowly proceeds through the room, stopping beside the dark-haired boss.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS288 	00:24:47,00 --> 00:24:54,50 	as he attempts to stop swerving cars, an suv hits him head on.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS630 	01:05:18,00 --> 01:05:24,50 	someone starts to speak, then stops himself.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS115 	00:27:39,00 --> 00:27:45,50 	he stops writing and looks outside at the tree.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS118 	00:27:48,00 --> 00:27:55,50 	someone stops writing and gazes at the tree, then writes bye.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS165 	00:31:02,00 --> 00:31:06,50 	someone stops walking.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS250 	00:47:56,00 --> 00:48:02,50 	stopping at a door, he straightens his tie, then knocks.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS29 	00:03:21,00 --> 00:03:28,50 	as someone approaches, the pipe smoking man stops him with the butt of his cane.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS58 	00:06:03,00 --> 00:06:08,50 	his mother stops reading along.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS111 	00:11:54,00 --> 00:12:02,50 	he heads up a staircase, stopping after only a few steps to peek at an upper floor.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS131 	00:15:46,00 --> 00:15:54,50 	wearing his sunglasses, someone's new mentor stops at a tree and gazes up the towering trunk.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS271 	00:39:17,00 --> 00:39:21,50 	he stops at a corner.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS273 	00:39:23,00 --> 00:39:28,50 	he stops and sniffs the air.
